"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
2.611926250E0;-6.998251438E0;-5.936423302E0;1.801636815E0
2.628592239E0;-6.491878033E0;-5.950189590E0;1.916558504E0
2.645258229E0;-5.924452305E0;-6.677428722E0;1.212663174E0
2.661924218E0;-5.270834923E0;-7.705738068E0;1.063025594E0
2.678590208E0;-6.567295074E0;-8.901042938E0;2.145204782E0
2.695256198E0;-8.462904930E0;-1.119169617E1;2.188300371E0
2.711922187E0;-7.449558735E0;-1.444601440E1;-2.064998895E-1
2.728588177E0;-3.664325714E0;-1.896207809E1;-4.389768600E0
2.745254166E0;1.035492182E0;-2.398391533E1;-6.643909931E0
2.761920156E0;3.712209702E0;-2.604652023E1;-5.942408562E0
2.778586146E0;-3.268085420E-1;-1.780867004E1;-3.013701439E0
2.795252135E0;-6.205172062E0;-9.743204117E0;-1.181538582E0
2.811918125E0;-1.357811642E1;-5.811326027E0;2.640205860E0
2.828584114E0;-1.548988628E1;-4.978143692E0;3.552995205E0
2.845250104E0;-7.679401875E0;-6.530185223E0;2.557605982E0
2.861916093E0;-3.620033026E0;-6.782773495E0;3.147776604E0
2.878582083E0;-1.821987510E0;-6.946776390E0;2.679111719E0
2.895248073E0;-7.158663273E-1;-6.572682381E0;4.094084799E-1
2.911914062E0;-6.123170853E-1;-5.568912983E0;-1.191115379E0
2.928580052E0;-7.846996188E-1;-5.132569790E0;-1.581968784E0
2.945246041E0;-9.528923035E-1;-5.400720596E0;-2.222417831E0
2.961912031E0;-8.439561129E-1;-5.805340767E0;-2.548627615E0
2.978578021E0;-3.040636182E-1;-6.173449039E0;-1.859696150E0
2.995244010E0;-2.328361124E-1;-6.593032837E0;-1.192312479E0
3.011910000E0;-5.494692922E-1;-7.171232700E0;-4.650736749E-1
3.028575989E0;-2.454655409E0;-7.827842236E0;6.290764809E-1
3.045241979E0;-5.607220173E0;-8.628104210E0;1.695094824E0
3.061907968E0;-8.061277390E0;-9.343372345E0;2.042253971E0
3.078573958E0;-9.679757118E0;-9.125499725E0;1.301248670E0
3.095239948E0;-9.814431190E0;-7.691971302E0;7.679402232E-1
3.111905937E0;-8.798690796E0;-6.671442986E0;1.103128433E0
3.128571927E0;-8.024167061E0;-6.576871872E0;1.328781962E0
3.145237916E0;-7.198765755E0;-6.797138691E0;9.187749028E-1
3.161903906E0;-6.721122742E0;-6.905476093E0;2.088941038E-1
3.178569896E0;-7.003638744E0;-6.551134586E0;-1.783680320E-1
3.195235885E0;-7.222707748E0;-5.788581371E0;1.526303589E-1
3.211901875E0;-7.076063156E0;-5.284003258E0;7.338228226E-1
3.228567864E0;-6.338050365E0;-5.661089897E0;1.303044319E0
3.245233854E0;-6.517016888E0;-7.611765862E0;1.877054095E0
3.261899843E0;-7.411849976E0;-1.044530392E1;5.159504414E-1
3.278565833E0;-7.766191959E0;-1.263360405E1;-2.041056871E0
3.295231823E0;-7.816470146E0;-1.304600525E1;-3.723582268E0
3.311897812E0;-6.496067524E0;-1.028608894E1;-2.834734917E0
3.328563802E0;-5.664082527E0;-8.372523308E0;9.576807022E-1
3.345229791E0;-6.328473568E0;-8.145672798E0;4.624999046E0
3.361895781E0;-4.629189014E0;-8.818443298E0;4.061763287E0
3.378561771E0;-2.127846718E0;-8.426991463E0;9.864110947E-1
3.395227760E0;-1.134253025E0;-7.798513412E0;-1.478419542E0
3.411893750E0;-9.463081956E-1;-8.425794601E0;-3.265691042E0
3.428559739E0;-1.655590534E0;-9.071630478E0;-4.534617901E0
3.445225729E0;-2.213439465E0;-9.079411507E0;-4.958391666E0
3.461891718E0;-2.909553528E0;-9.212289810E0;-4.557961464E0
3.478557708E0;-3.037643433E0;-9.423578262E0;-3.350086689E0
3.495223698E0;-3.702034473E0;-9.534309387E0;-1.897404790E0
3.511889687E0;-5.314529419E0;-9.557054520E0;-3.705027103E-1
3.528555677E0;-5.899312973E0;-9.366117477E0;5.506663918E-1
3.545221666E0;-5.099050999E0;-8.722076416E0;1.306037068E0
3.561887656E0;-4.513070107E0;-8.253412247E0;1.465251446E0
3.578553646E0;-4.441244125E0;-7.903858185E0;-6.165069342E-2
3.595219635E0;-5.122394562E0;-7.828441143E0;-1.869272947E0
3.611885625E0;-5.841253757E0;-7.816470146E0;-3.049614429E0
3.628551614E0;-6.143521786E0;-7.800309181E0;-3.290830135E0
3.645217604E0;-6.559514046E0;-7.538742542E0;-2.731185675E0
3.661883593E0;-6.747458935E0;-7.277774811E0;-1.604115129E0
3.678549583E0;-6.019621849E0;-7.423820972E0;-4.656722248E-1
3.695215573E0;-4.853645325E0;-8.143278122E0;-8.020575345E-2
3.711881562E0;-4.140771866E0;-8.868721962E0;4.608838260E-2
3.728547552E0;-3.910928488E0;-9.269750595E0;1.705868691E-1
3.745213541E0;-3.902548790E0;-9.145850182E0;1.233013868E-1
3.761879531E0;-4.547786236E0;-8.735843658E0;9.696517140E-2
3.778545521E0;-5.522824764E0;-8.282142639E0;-3.591302410E-2
3.795211510E0;-6.089652061E0;-7.851784706E0;-3.076549172E-1
3.811877500E0;-6.172252178E0;-7.355586052E0;-5.177460909E-1
3.828543489E0;-6.259041786E0;-6.785766125E0;-5.458779931E-1
3.845209479E0;-6.742670536E0;-6.436212540E0;-2.675520480E-1
3.861875468E0;-6.806117058E0;-6.387730122E0;1.969230920E-1
3.878541458E0;-6.278793812E0;-6.424241543E0;7.858967185E-1
3.895207448E0;-5.674856663E0;-6.212953568E0;1.688510776E0
3.911873437E0;-6.078279495E0;-6.008847713E0;1.950675845E0
3.928539427E0;-7.981071472E0;-6.994061947E0;1.758541107E0
3.945205416E0;-9.794080734E0;-1.002392387E1;1.238999367E0
3.961871406E0;-9.677961349E0;-1.359547424E1;1.035492182E0
3.978537396E0;-7.688978672E0;-1.569459057E1;4.836287498E-1
3.995203385E0;-5.184643745E0;-1.560839939E1;3.525462151E-1
4.011869375E0;-2.967612982E0;-1.445199966E1;2.512116194E0
4.028535364E0;5.626374111E-2;-1.409406662E1;4.353257179E0
4.045201354E0;2.413953781E0;-1.344583702E1;5.404910445E-1
4.061867343E0;1.400009394E0;-1.110490608E1;-2.409165382E0
4.078533333E0;-2.522291422E0;-8.640075684E0;-2.905363798E0
