"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
2.528596302E0;-3.101248741E-1;1.420262694E0;-3.596596420E-1
2.545262291E0;-4.565986395E-1;9.135967493E-1;-3.422159553E-1
2.561928281E0;-4.372907281E-1;-6.098634377E-2;-3.210438192E-1
2.578594271E0;-2.085253596E-1;-8.752472401E-1;-1.861548275E-1
2.595260260E0;1.266332120E-1;-8.832367063E-1;1.571263820E-1
2.611926250E0;5.239765644E-1;-3.906854391E-1;6.466150284E-1
2.628592239E0;8.723177910E-1;2.440785319E-1;1.241831064E0
2.645258229E0;1.035036802E0;3.290333152E-1;1.781786561E0
2.661924218E0;1.070057273E0;-2.447443157E-1;2.231993675E0
2.678590208E0;1.182575822E0;-9.579383135E-1;2.778873444E0
2.695256198E0;1.457413793E0;-1.024650455E0;3.756519079E0
2.711922187E0;1.647962809E0;-4.964128435E-1;4.850811005E0
2.728588177E0;1.577122808E0;5.593965650E-1;5.301018238E0
2.745254166E0;1.508413315E0;1.895237207E0;4.364518166E0
2.761920156E0;1.380182147E0;2.057556629E0;2.149435759E0
2.778586146E0;6.621944904E-1;-7.044056058E-2;2.535327375E-1
2.795252135E0;-3.169159293E-1;-2.067943096E0;2.010685056E-1
2.811918125E0;-6.303697824E-1;-1.954492450E0;9.206541181E-1
2.828584114E0;6.631266326E-2;-5.010733604E-1;2.040512562E0
2.845250104E0;3.776359558E-1;2.608564198E-1;2.167278767E0
2.861916093E0;1.782985032E-1;-1.536642760E-1;1.471395373E0
2.878582083E0;-2.450106442E-1;-1.378051639E0;9.299751520E-1
2.895248073E0;-6.235787272E-1;-1.892041326E0;5.063996911E-1
2.911914062E0;-9.060067534E-1;-1.460742712E0;2.190448344E-1
2.928580052E0;-1.004943132E0;-7.346324325E-1;7.443529367E-2
2.945246041E0;-9.492830634E-1;-2.320943177E-1;-2.969422378E-2
2.961912031E0;-8.081356287E-1;4.287686199E-2;-1.745700836E-1
2.978578021E0;-5.763076544E-1;1.374190152E-1;-3.928159773E-1
2.995244010E0;-3.327617347E-1;2.613890767E-1;-5.416865349E-1
3.011910000E0;-2.588590682E-1;3.370227814E-1;-5.993439555E-1
3.028575989E0;-2.830938101E-1;3.287670016E-1;-6.675208211E-1
3.045241979E0;-2.944122255E-1;1.410142779E-1;-6.295707822E-1
3.061907968E0;-3.186469972E-1;-2.149169445E-1;-6.287718415E-1
3.078573958E0;-4.773712754E-1;-4.547344148E-1;-6.998782158E-1
3.095239948E0;-7.463503480E-1;-2.997385561E-1;-6.424871087E-1
3.111905937E0;-8.205193281E-1;1.182442605E-1;-4.466117918E-1
3.128571927E0;-5.787044764E-1;5.307676196E-1;-2.683132887E-1
3.145237916E0;-2.635195851E-1;7.014760971E-1;-1.332911104E-1
3.161903906E0;-5.193160102E-2;6.567350626E-1;-9.307741374E-2
3.178569896E0;6.657897960E-3;4.700475931E-1;-1.009337306E-1
3.195235885E0;4.860265180E-2;3.424822688E-1;-9.454214573E-2
3.211901875E0;1.462074369E-1;3.042659163E-1;-8.535424620E-2
3.228567864E0;2.348906398E-1;3.279680312E-1;-1.105211005E-1
3.245233854E0;1.436774284E-1;5.819002539E-2;-1.778990328E-1
3.261899843E0;-1.420795321E-1;-4.182491302E-1;-2.519348562E-1
3.278565833E0;-5.752423406E-1;-7.467498183E-1;-2.123869359E-1
3.295231823E0;-7.611308694E-1;-3.910849094E-1;4.793686420E-2
3.311897812E0;-6.829671264E-1;2.549974918E-1;2.998717129E-1
3.328563802E0;-4.426170290E-1;5.566002727E-1;2.600574791E-1
3.345229791E0;7.510108501E-2;6.736460924E-1;1.818937659E-1
3.361895781E0;5.254412889E-1;4.194475710E-1;9.201214463E-2
3.378561771E0;4.740423262E-1;-4.025365114E-1;-2.972085476E-1
3.395227760E0;1.041295230E-1;-1.139033198E0;-6.684529185E-1
3.411893750E0;-2.715090811E-1;-1.477787018E0;-9.006804228E-1
3.428559739E0;-3.845601678E-1;-1.221724272E0;-9.474188685E-1
3.445225729E0;-1.982721984E-1;-3.334275186E-1;-8.681898713E-1
3.461891718E0;4.447475821E-2;3.976096511E-1;-6.783066392E-1
3.478557708E0;1.043958366E-1;4.081291258E-1;-5.179844499E-1
3.495223698E0;2.703106403E-2;2.085253596E-1;-5.368928909E-1
3.511889687E0;-1.472726911E-1;5.651223660E-1;-5.990776420E-1
3.528555677E0;-3.422159553E-1;1.454351187E0;-5.909550190E-1
3.545221666E0;-3.679154217E-1;1.454484344E0;-5.990776420E-1
3.561887656E0;-1.487374306E-1;5.952160358E-1;-6.090644598E-1
3.578553646E0;2.416816950E-1;-1.651158556E-2;-6.002760530E-1
3.595219635E0;5.339633822E-1;2.372874767E-1;-5.587307811E-1
3.611885625E0;5.374255180E-1;4.593949318E-1;-5.218459964E-1
3.628551614E0;2.491385341E-1;2.954775095E-1;-5.484775901E-1
3.645217604E0;-1.416800618E-1;6.258423906E-3;-6.362286806E-1
3.661883593E0;-4.283691347E-1;1.605884880E-1;-6.920219064E-1
3.678549583E0;-5.627255440E-1;4.704470634E-1;-6.448839903E-1
3.695215573E0;-5.274386406E-1;6.367613673E-1;-5.928192139E-1
3.711881562E0;-3.713775277E-1;8.301066756E-1;-5.807018280E-1
3.728547552E0;-1.763011366E-1;9.327715039E-1;-5.764408112E-1
3.745213541E0;-5.179844424E-2;8.246471882E-1;-6.157223582E-1
3.761879531E0;-2.822948620E-2;5.693834424E-1;-6.615287066E-1
3.778545521E0;-8.655267209E-2;3.143859208E-1;-6.396908164E-1
3.795211510E0;-1.655153334E-1;2.864227593E-1;-5.579318404E-1
3.811877500E0;-2.125200927E-1;3.771033287E-1;-4.833633900E-1
3.828543489E0;-2.246374637E-1;4.115912318E-1;-4.221107066E-1
3.845209479E0;-2.141179889E-1;3.330280483E-1;-2.885532975E-1
3.861875468E0;-1.659148186E-1;2.560627460E-1;-1.029310971E-1
3.878541458E0;-3.608580679E-2;2.197106332E-1;9.161267430E-2
3.895207448E0;2.486059070E-1;2.396843163E-3;2.858901322E-1
3.911873437E0;6.290381551E-1;-4.404865205E-1;6.070671082E-1
3.928539427E0;1.025715709E0;-8.291745782E-1;1.173387885E0
3.945205416E0;1.342365384E0;-5.474123359E-1;1.826527715E0
3.961871406E0;1.490703344E0;3.205111921E-1;2.243445158E0
3.978537396E0;1.571796536E0;1.287903786E0;2.338386774E0
3.995203385E0;1.613075495E0;2.441850662E0;2.253032684E0
4.011869375E0;1.809350252E0;3.448258400E0;2.204163551E0
4.028535364E0;2.143709898E0;3.106441975E0;2.049700499E0
4.045201354E0;1.966343522E0;1.098020554E0;1.461941242E0
4.061867343E0;1.226784229E0;-8.291745782E-1;6.753771305E-1
4.078533333E0;4.038680792E-1;-2.202965260E0;6.950845569E-2
4.095199323E0;-9.680583328E-2;-2.493382692E0;9.986846708E-3
4.111865312E0;3.102580272E-2;-1.077780485E0;6.665887237E-1
4.128531302E0;4.639223218E-1;8.483493328E-1;1.621064901E0
4.145197291E0;5.508744717E-1;1.480982780E0;1.788311362E0
