"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.678590208E0;-3.705075264E0;3.106508255E-1;2.490431786E0
2.695256198E0;-4.994082928E0;-2.158151627E0;2.244167566E0
2.711922187E0;-3.242665291E0;-5.688350677E0;-4.226680398E-1
2.728588177E0;1.293758869E0;-1.055197525E1;-4.757235527E0
2.745254166E0;6.563079834E0;-1.586741734E1;-7.006346703E0
2.761920156E0;9.479726791E0;-1.803011131E1;-6.254359722E0
2.778586146E0;5.440656662E0;-9.759771347E0;-3.399643183E0
2.795252135E0;-4.245676994E-1;-1.700657845E0;-1.713693142E0
2.811918125E0;-7.647330761E0;2.134994030E0;1.990138292E0
2.828584114E0;-9.241802216E0;2.744116306E0;2.827565670E0
2.845250104E0;-1.146267414E0;9.511771202E-1;1.801197529E0
2.861916093E0;3.073591232E0;5.307302475E-1;2.338381290E0
2.878582083E0;4.935280323E0;2.644023895E-1;1.734167457E0
2.895248073E0;6.033849239E0;5.885848999E-1;-6.706702113E-1
2.911914062E0;6.100565910E0;1.575135231E0;-2.314093113E0
2.928580052E0;5.888906002E0;2.010243893E0;-2.652125835E0
2.945246041E0;5.680355072E0;1.750992298E0;-3.186604977E0
2.961912031E0;5.735948563E0;1.370336056E0;-3.392034769E0
2.978578021E0;6.194862843E0;1.046563148E0;-2.604018927E0
2.995244010E0;6.168146133E0;6.859245300E-1;-1.857187748E0
3.011910000E0;5.749365330E0;1.726722717E-1;-1.056798339E0
3.028575989E0;3.744043350E0;-4.094114304E-1;1.057189107E-1
3.045241979E0;5.115227699E-1;-1.136012554E0;1.215799809E0
3.061907968E0;-2.011692047E0;-1.775355339E0;1.572426081E0
3.078573958E0;-3.701691151E0;-1.475444317E0;8.420724273E-1
3.095239948E0;-3.899253368E0;2.684354782E-2;3.726950288E-1
3.111905937E0;-2.924282074E0;1.089969635E0;8.209975362E-1
3.128571927E0;-2.170978546E0;1.206339836E0;1.166890621E0
3.145237916E0;-1.354273319E0;9.942560196E-1;8.545195460E-1
3.161903906E0;-8.835854530E-1;8.897776604E-1;2.141899168E-1
3.178569896E0;-1.173420906E0;1.247265339E0;-1.274196506E-1
3.195235885E0;-1.397520065E0;2.008361816E0;2.290289402E-1
3.211901875E0;-1.255902290E0;2.508315086E0;8.165434003E-1
3.228567864E0;-5.296711922E-1;2.131013393E0;1.379745722E0
3.245233854E0;-7.281007767E-1;1.967120171E-1;1.930613875E0
3.261899843E0;-1.646786213E0;-2.599121571E0;5.450733900E-1
3.278565833E0;-2.018250942E0;-4.742955208E0;-1.998251915E0
3.295231823E0;-2.051250458E0;-5.133840561E0;-3.599381685E0
3.311897812E0;-6.884021759E-1;-2.393033504E0;-2.582789898E0
3.328563802E0;1.737804413E-1;-5.039348602E-1;1.315554857E0
3.345229791E0;-4.686641693E-1;-2.927541733E-1;5.012821674E0
3.361895781E0;1.233679771E0;-9.666585922E-1;4.399388790E0
3.378561771E0;3.679612637E0;-5.409240723E-1;1.216692328E0
3.395227760E0;4.564902782E0;1.511425972E-1;-1.364116907E0
3.411893750E0;4.611148834E0;-3.894891739E-1;-3.237895250E0
3.428559739E0;3.755722046E0;-9.441175461E-1;-4.544461727E0
3.445225729E0;3.064212799E0;-8.699150085E-1;-4.947075844E0
3.461891718E0;2.263734341E0;-9.389553070E-1;-4.495904922E0
3.478557708E0;2.053301096E0;-1.100436211E0;-3.251457453E0
3.495223698E0;1.307925701E0;-1.160284996E0;-1.776138663E0
3.511889687E0;-3.883333206E-1;-1.128299713E0;-1.812681556E-1
3.528555677E0;-1.057901859E0;-8.864383698E-1;9.023700953E-1
3.545221666E0;-3.513045311E-1;-1.965761185E-1;1.817068696E0
3.561887656E0;1.420903206E-1;3.172359467E-1;2.034706116E0
3.578553646E0;1.271934509E-1;7.118034363E-1;4.692230225E-1
3.595219635E0;-6.330842972E-1;8.298077583E-1;-1.390598774E0
3.611885625E0;-1.424664497E0;8.800873756E-1;-2.602428436E0
3.628551614E0;-1.800264359E0;9.338846207E-1;-2.844690561E0
3.645217604E0;-2.298266411E0;1.234010220E0;-2.253185272E0
3.661883593E0;-2.576790333E0;1.533246994E0;-1.047655582E0
3.678549583E0;-1.940138817E0;1.418914318E0;2.048558593E-1
3.695215573E0;-8.653740883E-1;7.292232513E-1;7.078388929E-1
3.711881562E0;-2.488908768E-1;3.668594360E-2;9.394111633E-1
3.728547552E0;-1.190531254E-1;-3.283166885E-1;1.144681334E0
3.745213541E0;-2.153882980E-1;-1.662616730E-1;1.151150346E0
3.761879531E0;-9.653959274E-1;2.816295624E-1;1.158562183E0
3.778545521E0;-2.033038378E0;7.684707642E-1;1.052425146E0
3.795211510E0;-2.677410364E0;1.221938610E0;8.184561133E-1
3.811877500E0;-2.828175545E0;1.733419895E0;6.587719321E-1
3.828543489E0;-2.973861456E0;2.311643124E0;6.841688156E-1
3.845209479E0;-3.492511749E0;2.660751820E0;1.008924007E0
3.861875468E0;-3.561712265E0;2.699473381E0;1.505858660E0
3.878541458E0;-3.011928082E0;2.645341396E0;2.102675200E0
3.895207448E0;-2.354904175E0;2.834088326E0;2.954931736E0
3.911873437E0;-2.646220684E0;3.003546238E0;3.084376097E0
3.928539427E0;-4.340156555E0;1.958674431E0;2.678358316E0
3.945205416E0;-5.849395752E0;-1.163351059E0;1.916971684E0
3.961871406E0;-5.384825706E0;-4.853034973E0;1.510449290E0
3.978537396E0;-3.053636074E0;-7.085228920E0;8.242730498E-1
3.995203385E0;-2.408394814E-1;-7.140186310E0;6.567583084E-1
4.011869375E0;2.256321669E0;-6.134910583E0;2.844431639E0
4.028535364E0;5.521244049E0;-5.923203468E0;4.649358749E0
4.045201354E0;8.037872314E0;-5.380848885E0;6.697970033E-1
4.061867343E0;7.083967209E0;-3.089984894E0;-2.512683392E0
4.078533333E0;3.148980141E0;-6.302595139E-1;-3.257652521E0
4.095199323E0;-4.561115265E0;6.798515320E-1;-2.506290674E0
4.111865312E0;-1.141726685E1;1.831376076E0;-7.099583149E-1
4.128531302E0;-1.266795349E1;2.756954193E0;-1.080451012E-1
4.145197291E0;-2.938044071E0;6.332888603E-1;6.143239737E-1
4.161863281E0;1.913835526E0;-5.235877037E-1;8.192384243E-1
