"Time (s)";"Gyroscope x (rad/s)";"Gyroscope y (rad/s)";"Gyroscope z (rad/s)"
5.177495667E0;1.405538470E-1;-2.074451894E-1;-1.361662745E-1
5.197654667E0;2.333455682E-1;-2.423935980E-1;-2.082061023E-1
5.217813667E0;2.331283092E-1;-3.557111621E-1;-2.145399898E-1
5.237972667E0;1.356962770E-1;-2.760276794E-1;-1.679247618E-1
5.258131667E0;4.869341850E-2;-1.508926004E-1;-1.328620911E-1
5.278290667E0;-3.982543480E-3;-1.609727144E-1;-5.886837095E-2
5.298449667E0;-7.782531530E-2;-7.315760106E-2;-1.236216165E-2
5.318608667E0;-1.679915749E-2;-1.207951233E-1;-3.463673592E-2
5.338767667E0;1.100473851E-1;-1.542117000E-1;-6.069374084E-2
5.358926667E0;1.254475564E-1;-1.869031191E-1;-4.020161927E-2
5.379085667E0;6.660006940E-2;-1.976861656E-1;-2.368249744E-2
5.399244667E0;1.201224998E-1;-1.979106367E-1;-3.068411164E-2
5.419403667E0;8.846376091E-3;4.702336714E-2;5.872629210E-2
5.439562667E0;5.676038563E-5;1.987219788E-2;4.128656536E-2
5.459721667E0;-1.399748027E-2;-1.736759394E-2;7.486437261E-2
5.479880667E0;1.693546213E-2;-7.221460342E-2;6.626649946E-2
5.500038667E0;-4.434046522E-2;3.239639103E-2;7.024773955E-2
5.520197667E0;-1.069139838E-1;1.592287123E-1;7.298819721E-2
5.540356667E0;-8.623664081E-2;1.262090355E-1;5.023304373E-2
5.560515667E0;-1.320385840E-2;8.449938148E-2;5.093906820E-2
5.580674667E0;1.847633533E-2;1.974413544E-2;6.822880358E-2
5.600833667E0;-5.481230840E-2;-2.203710610E-3;6.204337627E-2
5.620992667E0;-1.152248830E-1;5.580453575E-2;6.658640504E-2
5.641151667E0;-6.313921511E-2;6.036645919E-2;2.809845842E-2
5.661310667E0;8.439055085E-2;-4.290127754E-2;1.753005385E-2
5.681469667E0;2.446143888E-2;-9.008264542E-2;2.204144932E-2
5.701628667E0;-8.687265962E-2;-1.105423570E-1;-3.177652881E-2
5.721787667E0;-1.392581314E-1;3.837011755E-2;-5.259175599E-2
5.741946667E0;-1.722320020E-1;1.397630274E-1;-5.887321010E-2
5.762105667E0;-1.073397100E-1;2.002546936E-1;-1.152296290E-1
5.782264667E0;1.377259344E-1;3.496486321E-2;-1.217162609E-1
5.802423667E0;2.136487663E-1;-1.265650839E-1;-1.426137537E-1
5.822582667E0;1.103647202E-1;-1.374254525E-1;-8.567722887E-2
5.842741667E0;1.595231704E-2;-5.651705712E-2;-5.459732190E-2
5.862900667E0;-7.715372834E-3;-7.325045764E-2;-3.124689125E-2
5.883059667E0;-1.291776728E-2;-1.341689974E-1;-2.623609453E-2
5.903218667E0;-7.737742364E-2;-1.288061403E-2;8.012519032E-2
5.923377667E0;-5.761123449E-2;-5.698723719E-2;1.376046389E-1
5.943536667E0;-8.292676508E-2;-8.597633243E-2;2.123598158E-1
5.963695667E0;-8.815032244E-2;-8.960961550E-2;2.698996365E-1
5.983854667E0;-5.830545351E-2;-1.515196711E-1;1.599938273E-1
6.004013667E0;-2.792483009E-2;-1.561413407E-1;9.173429012E-2
6.024172667E0;-1.212656964E-2;-1.125772074E-1;5.874754488E-2
6.044331667E0;-3.871178254E-2;-2.459848225E-1;4.478793219E-2
6.064490667E0;-2.945072055E-1;3.595810235E-1;1.709940583E-1
6.084649667E0;-2.722474337E-1;3.558752239E-1;6.494057924E-2
6.104808667E0;-4.945476726E-2;1.296836138E-1;-6.071664859E-3
6.124967667E0;2.624650113E-2;-1.104639098E-1;-1.460782997E-2
6.145126667E0;-4.453717917E-2;-1.730334908E-1;1.337696612E-2
6.165284667E0;-8.537486941E-2;1.318219211E-2;1.273057163E-1
6.185443667E0;-1.092169955E-1;1.608195156E-1;1.739321351E-1
6.205602667E0;-1.063735634E-1;1.795052737E-1;1.838039756E-1
6.225761667E0;2.999638207E-2;1.411903352E-1;6.358997524E-2
6.245920667E0;-7.426308841E-2;2.971067429E-1;4.420492426E-2
6.266079667E0;-1.363741606E-1;2.371613383E-1;3.724879026E-2
6.286238667E0;-8.871544152E-2;1.414302588E-1;1.374827512E-2
6.306397667E0;-2.967549860E-2;-3.107974119E-2;-4.292125255E-2
6.326556667E0;-1.196909100E-1;-5.179081485E-2;5.245029461E-3
6.346715667E0;-1.222352311E-1;1.345049404E-2;5.561700091E-2
6.366874667E0;-1.037466750E-1;1.199019104E-1;8.471924067E-2
6.387033667E0;5.918735266E-2;-4.668099433E-2;3.224889636E-1
6.407192667E0;-2.035254985E-1;8.301121742E-2;2.571896017E-1
6.427351667E0;-3.445051312E-1;9.545119852E-2;2.251696587E-1
6.447510667E0;-1.460398436E-1;2.882175148E-2;8.263348788E-2
6.467669667E0;-4.426728562E-2;3.761491179E-2;4.852249846E-2
6.487828667E0;-1.186890528E-1;1.364822537E-1;3.587057814E-2
6.507987667E0;-9.212866426E-2;1.479029804E-1;-2.275230363E-3
6.528147042E0;5.026055127E-2;1.123248413E-1;1.318128873E-2
6.548306042E0;2.161213756E-1;1.265597530E-4;4.479654878E-2
6.568464042E0;4.356648624E-1;-3.734641373E-1;8.943089843E-2
6.588623042E0;5.859786272E-1;-7.042681575E-1;2.086539865E-1
6.608782042E0;3.290313184E-1;-4.753759503E-1;3.421385884E-1
6.628941042E0;6.865554303E-2;-6.357733160E-2;3.119988143E-1
6.649100042E0;5.824523978E-4;-4.547614232E-2;1.838489026E-1
6.669259042E0;-8.226931840E-2;5.929089151E-3;3.736411408E-2
6.689418042E0;-7.885058224E-2;2.464751601E-1;4.244938120E-2
6.709577042E0;-1.694487780E-1;3.528043032E-1;1.118792966E-1
6.729736042E0;6.594853103E-2;-4.698458314E-2;5.621638894E-2
6.749895042E0;2.765401639E-2;3.356594592E-2;6.451051682E-2
6.770054042E0;4.397256672E-2;-1.850877143E-2;5.425699428E-2
6.790213042E0;4.092656076E-2;-7.263313234E-2;5.429825187E-2
6.810372042E0;-4.781111702E-2;1.520265359E-3;4.252462089E-2
6.830531042E0;-1.718010604E-1;1.148152426E-1;-1.689783670E-2
