"Time (s)";"X (µT)";"Y (µT)";"Z (µT)"
5.538603430E2;5.000358582E0;-2.087064362E1;2.035629272E1
5.538754220E2;4.991432190E0;-2.080091095E1;2.037994385E1
5.538905010E2;4.925460815E0;-2.094099426E1;2.092813110E1
5.539055800E2;5.317222595E0;-2.100016785E1;2.027868652E1
5.539206590E2;5.169151306E0;-2.083019257E1;2.026049805E1
5.539357380E2;5.284103394E0;-2.080181122E1;2.011007690E1
5.539508180E2;5.176780701E0;-2.082791901E1;2.037893677E1
5.539658970E2;4.941276550E0;-2.104901123E1;2.090109253E1
5.539809760E2;4.889312744E0;-2.075221252E1;2.078195190E1
5.539960550E2;4.773971558E0;-2.087174988E1;2.023056030E1
5.540111340E2;4.957885742E0;-2.106212616E1;2.037539673E1
5.540262140E2;5.052688599E0;-2.072128296E1;1.979626465E1
5.540412930E2;5.034912109E0;-2.095056152E1;2.050756836E1
5.540563720E2;5.211853027E0;-2.089513397E1;2.007812500E1
5.540714510E2;4.799247742E0;-2.087715912E1;2.011767578E1
5.540865300E2;4.871177673E0;-2.070288849E1;2.031567383E1
5.541016100E2;4.862060547E0;-2.088662720E1;1.988409424E1
5.541166890E2;4.794219971E0;-2.107720184E1;2.022680664E1
5.541317680E2;4.653091431E0;-2.097183228E1;1.986825562E1
5.541468470E2;4.766082764E0;-2.095907593E1;2.001519775E1
5.541619260E2;4.783508301E0;-2.083215332E1;2.003262329E1
5.541770060E2;4.892242432E0;-2.106230927E1;2.057015991E1
5.541920850E2;5.153465271E0;-2.129428101E1;2.059536743E1
5.542071640E2;4.630256653E0;-2.108537292E1;2.002877808E1
5.542222430E2;4.698348999E0;-2.113306427E1;2.021322632E1
5.542373220E2;4.868484497E0;-2.126376343E1;2.009921265E1
5.542524010E2;4.826988220E0;-2.089985657E1;2.028604126E1
5.542674810E2;4.620948792E0;-2.119947815E1;2.016470337E1
5.542825600E2;4.776451111E0;-2.085401154E1;1.974835205E1
5.542976390E2;5.220527649E0;-2.076544189E1;1.991394043E1
5.543127180E2;4.988708496E0;-2.101497650E1;2.031271362E1
5.543277970E2;5.016433716E0;-2.110784149E1;2.001287842E1
5.543428770E2;4.684883118E0;-2.105509186E1;2.024636841E1
5.543579560E2;4.647850037E0;-2.077893066E1;2.030364990E1
5.543730350E2;4.929664612E0;-2.055642700E1;2.009051514E1
5.543881140E2;4.962104797E0;-2.099408722E1;1.988116455E1
5.544031930E2;4.921630859E0;-2.072229767E1;1.969064331E1
5.544182730E2;4.803100586E0;-2.071508789E1;2.007699585E1
5.544333520E2;4.851860046E0;-2.089511871E1;2.006710815E1
5.544484310E2;4.995841980E0;-2.100636292E1;1.975692749E1
5.544635100E2;4.627006531E0;-2.100815582E1;2.018728638E1
5.544785890E2;5.143730164E0;-2.107238770E1;2.003579712E1
5.544936690E2;4.873588562E0;-2.117428589E1;1.988424683E1
5.545087480E2;5.140403748E0;-2.125428009E1;2.063473511E1
5.545238270E2;5.126853943E0;-2.100701904E1;2.005029297E1
5.545389060E2;4.954483032E0;-2.102357483E1;1.983435059E1
5.545539850E2;5.133155823E0;-2.109317017E1;2.013986206E1
5.545690650E2;5.011772156E0;-2.109766388E1;2.003152466E1
5.545841432E2;5.037376404E0;-2.087623596E1;2.004858398E1
5.545992222E2;4.794631958E0;-2.093220520E1;2.006597900E1
5.546143012E2;4.706161499E0;-2.107239532E1;2.030633545E1
5.546293802E2;4.580513000E0;-2.110093689E1;2.033605957E1
5.546444602E2;4.774070740E0;-2.100711823E1;1.993023682E1
5.546595392E2;4.843177795E0;-2.084672546E1;2.027825928E1
5.546746182E2;4.880699158E0;-2.090423584E1;1.967553711E1
5.546896972E2;4.788658142E0;-2.086017609E1;2.008749390E1
5.547047762E2;4.820671082E0;-2.117404938E1;1.974835205E1
5.547198562E2;4.685775757E0;-2.106708527E1;1.986895752E1
5.547349352E2;5.171951294E0;-2.107288361E1;2.000366211E1
5.547500142E2;5.013755798E0;-2.101693726E1;2.011810303E1
