"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
1.569204500E0;-8.936738223E-2;1.521463054E-1;-4.415747094E-1
1.584280500E0;-2.365437005E-1;1.483935624E-1;-4.026480407E-1
1.599355500E0;-2.631350832E-1;1.430696726E-1;-3.301557228E-1
1.614431500E0;-1.521694019E-1;1.728542197E-1;-2.250856429E-1
1.629507500E0;-2.860180154E-2;1.967985678E-1;-1.522474623E-1
1.644583500E0;1.005991526E-1;1.123659432E-2;-1.124121362E-1
1.659658500E0;2.722324736E-1;1.524415898E-1;-7.788315833E-2
1.674734500E0;5.570876241E-1;4.425231278E-1;2.213697374E-2
1.689810500E0;6.423091842E-1;3.450950664E-1;1.147223711E-2
1.704886500E0;7.458044627E-1;1.524603009E-2;9.873754531E-2
1.719962500E0;6.748142946E-1;-9.195506752E-2;1.294208094E-1
1.735037500E0;3.288468236E-1;-1.386316359E-1;1.816291362E-1
1.750113500E0;1.355940074E-1;-8.070151627E-2;1.739073032E-1
1.765189500E0;-2.431564629E-2;-3.424187958E-2;7.896957099E-2
1.780265500E0;-9.288360536E-2;-6.725525916E-2;3.389133900E-2
1.795340500E0;-9.846448034E-2;4.198862171E-1;3.762887925E-2
1.810416500E0;8.866425455E-3;5.976749021E-1;-3.830277085E-2
1.825492500E0;1.586279440E-1;-7.442511499E-2;-5.050158298E-1
1.840568500E0;1.106617722E-1;-1.129378009E-1;-4.426967901E-1
1.855644500E0;1.485379887E-1;3.657035780E-1;-2.645876777E-1
1.870719500E0;-8.972552419E-3;1.880932331E-2;-3.957845789E-1
1.885795500E0;8.129939407E-2;2.840021878E-1;-5.252261460E-2
1.900871500E0;-1.110403794E-1;-1.835534549E-1;-4.371583074E-1
1.915947500E0;-3.125798696E-1;2.881116110E-1;-1.449700177E-1
1.931022500E0;-2.582036877E-1;-2.414572620E-1;-3.711824191E-1
1.946098500E0;-5.155180138E-1;1.147399127E-2;-2.134520227E-1
1.961174500E0;-4.271382263E-1;-1.395098877E-1;-4.234202743E-2
1.976250500E0;-3.488440087E-1;-4.686543345E-2;4.010774785E-1
1.991326500E0;-3.773439226E-1;-2.121609575E-1;5.164600003E-1
2.006401500E0;-3.545318878E-1;-1.330925685E-1;5.620253053E-1
2.021477500E0;-2.782894582E-1;-1.294573545E-3;4.477137011E-1
2.036553500E0;-1.644804221E-1;-2.218024313E-1;3.811098218E-1
2.051629500E0;-3.545663863E-1;-5.578922009E-1;3.608644223E-1
2.066704500E0;-3.309705323E-1;-4.068410790E-1;1.914986515E-1
2.081780375E0;-2.007009995E-1;-3.316260052E-1;3.457897156E-2
2.096856375E0;4.605968714E-2;-2.018090469E-1;-3.232457757E-1
2.111932375E0;1.783026552E-1;-1.910560173E-1;-4.667767936E-1
2.127008375E0;2.390827078E-1;7.737971306E-2;-4.034257203E-1
2.142083375E0;3.751827917E-1;4.293160218E-1;-2.738677937E-1
2.157159375E0;3.646235973E-1;8.612106657E-1;-5.320089161E-3
2.172235375E0;4.290037805E-1;9.923128420E-1;-4.228589416E-2
2.187311375E0;4.395512804E-1;4.807504696E-1;-1.522872233E-1
2.202386375E0;4.053243113E-1;1.763567019E-1;-1.676481512E-1
2.217462375E0;3.095860952E-1;-1.478678977E-1;-1.332992676E-1
2.232538375E0;2.426275823E-1;-1.958367008E-1;-1.412614211E-1
2.247614375E0;7.165938199E-2;-2.159324116E-1;-1.204587820E-1
2.262690375E0;-5.820435405E-2;-1.480719656E-1;-1.048753676E-1
2.277765375E0;-1.890603626E-1;9.702869654E-3;-2.025475502E-3
2.292841375E0;-2.125506744E-1;7.833573282E-2;1.030747175E-2
2.307917375E0;-8.456944942E-2;-1.799714506E-2;6.651295513E-2
2.322993375E0;-6.634660184E-2;-2.713692784E-2;5.007087708E-2
2.338068375E0;-1.842750013E-3;-7.171142220E-2;4.410086989E-2
2.353144375E0;-1.296620071E-3;-2.252990663E-2;1.864998668E-2
2.368220375E0;-3.372849405E-2;8.159789443E-2;-6.607938409E-3
2.383296375E0;-3.083646119E-2;7.933034420E-2;-5.273837686E-2
2.398372375E0;7.833222449E-2;5.765471578E-2;-1.394698343E-1
2.413447375E0;1.335726249E-1;4.689233065E-2;-1.621964997E-1
2.428523375E0;1.630592564E-1;2.166393399E-3;-2.026817438E-1
2.443599375E0;1.683360761E-1;-2.369233310E-2;-1.686898327E-1
2.458675375E0;1.737397805E-1;9.510496259E-3;-1.213829345E-1
2.473750375E0;1.149355021E-1;4.237769544E-2;-1.080015814E-1
2.488826375E0;2.015798360E-2;1.012749445E-1;-6.771982044E-2
2.503902375E0;6.551805139E-4;1.000394279E-1;-6.598465919E-2
2.518978375E0;-2.607741237E-2;1.194334728E-1;-3.840685129E-2
2.534054375E0;-2.302589670E-2;1.418873656E-1;-6.500437349E-2
2.549129375E0;1.437961891E-2;2.015552777E-1;-4.171462119E-2
2.564205375E0;6.667389974E-2;2.380261159E-1;1.022970378E-3
2.579281375E0;6.524279371E-2;6.435620964E-2;-3.768296599E-2
2.594357375E0;4.572566494E-2;6.436614990E-2;-2.065236568E-3
2.609433375E0;1.435155228E-2;-7.504901290E-3;-5.060326606E-2
2.624508375E0;2.732696235E-2;-1.387602746E-2;-4.011950076E-2
2.639584375E0;3.343057841E-2;4.736244678E-4;1.785622716E-2
2.654660375E0;5.039042741E-2;4.085683465E-2;3.768705904E-2
2.669736375E0;1.195154800E-1;8.188616216E-2;3.694183141E-2
2.684811375E0;1.722304679E-1;7.172896385E-2;3.566333771E-2
2.699887375E0;2.033885260E-1;2.896710634E-2;3.134926200E-2
2.714963375E0;2.070037133E-1;1.497647345E-2;2.387271971E-2
2.730039375E0;2.180109505E-1;3.907694221E-3;3.859162331E-4
2.745115375E0;1.948730797E-1;-2.858177483E-2;4.581293464E-3
2.760190375E0;1.124096511E-1;-5.443523884E-2;-4.564044178E-2
2.775266375E0;6.481916294E-2;-1.243936658E-2;-8.942380786E-2
2.790342375E0;4.126672447E-2;3.769524515E-2;-1.038553208E-1
2.805418375E0;3.667300567E-2;2.002320528E-2;-7.534751326E-2
2.820493375E0;7.336910784E-2;7.662249863E-2;-1.059126636E-1
2.835569375E0;4.436969563E-2;1.140247983E-1;-1.045680964E-1
2.850645375E0;7.716833621E-2;1.178763592E-1;-9.088853538E-2
2.865721375E0;1.142806140E-1;9.598204494E-2;-7.433682203E-2
2.880797375E0;1.463938147E-1;6.052335978E-2;-5.109004676E-2
2.895872375E0;1.267486319E-1;2.906767845E-2;-2.759651899E-2
2.910948375E0;3.745580167E-2;-6.743009090E-2;-1.900345087E-5
2.926024375E0;-6.944738030E-3;-1.041020733E-1;-1.401869953E-3
2.941100375E0;-1.243724696E-1;-8.042845130E-2;-1.746212482E-2
2.956175375E0;-1.427729264E-1;-2.931209207E-2;-4.369858146E-2
2.971251375E0;-9.832268536E-2;3.476169705E-3;-5.723108500E-2
2.986327375E0;-5.450394362E-2;5.698520958E-2;-1.313261247E-1
3.001403375E0;3.023624450E-2;8.256151557E-2;-1.286697346E-1
3.016479375E0;7.802393004E-2;9.619780719E-2;-1.186797667E-1
3.031554375E0;1.152139758E-1;1.128442454E-1;-6.339902043E-2
3.046630375E0;1.093590125E-1;1.240317231E-1;-3.547154903E-2
3.061706375E0;1.038076660E-1;8.523193896E-2;-1.744019777E-2
3.076783000E0;1.154388012E-1;8.059919000E-2;9.276315272E-3
3.091858000E0;1.493568912E-1;1.074700695E-1;7.014378369E-2
3.106934000E0;1.327806196E-1;1.022426587E-1;9.142530978E-2
3.122010000E0;5.663920060E-2;1.994947189E-1;1.077828956E-1
3.137086000E0;-9.424834549E-3;2.189080596E-1;-2.065295041E-2
3.152162000E0;1.015018165E-2;8.853152275E-2;-1.584338164E-1
3.167237000E0;2.069329619E-3;3.636207998E-2;-1.884043050E-1
3.182313000E0;-1.127357796E-1;7.082790792E-2;-1.162172118E-1
3.197389000E0;-1.818728189E-1;1.125396055E-1;7.821820378E-3
3.212465000E0;-2.597727880E-1;-7.611028254E-2;-1.967880428E-2
3.227540000E0;-2.606370065E-1;-2.150044584E-1;-1.292059243E-2
3.242616000E0;-2.695562030E-1;-2.966017681E-1;1.579865044E-1
