"Time (s)";"X (hPa)"
1.991354969E2;1.007582626E3
2.001360229E2;1.007626038E3
2.011365989E2;1.007685013E3
2.021371769E2;1.007753601E3
2.031377519E2;1.007795410E3
2.041383329E2;1.007800446E3
2.051389039E2;1.007812729E3
2.061394819E2;1.007812729E3
2.071400559E2;1.007787247E3
2.081406379E2;1.007723465E3
2.091412119E2;1.007722626E3
2.101417909E2;1.007723465E3
2.111423629E2;1.007729416E3
2.121432239E2;1.007758484E3
2.131435129E2;1.007821426E3
2.141440979E2;1.007873306E3
2.151446699E2;1.007929230E3
2.161452419E2;1.007997894E3
2.171458299E2;1.008071136E3
2.181463999E2;1.008126297E3
2.191469829E2;1.008142548E3
2.201475509E2;1.008142548E3
2.211481299E2;1.008112869E3
2.221487059E2;1.008077316E3
2.231492839E2;1.008053665E3
2.241498629E2;1.008045349E3
2.251504309E2;1.008045349E3
2.261510099E2;1.008038254E3
2.271515889E2;1.008031311E3
2.281521639E2;1.007948380E3
2.291527399E2;1.007910767E3
2.301533129E2;1.007870255E3
2.311538979E2;1.007870255E3
2.321544729E2;1.007873764E3
2.331550439E2;1.007947083E3
2.341556209E2;1.007947311E3
2.351561999E2;1.007947311E3
2.361567789E2;1.007946167E3
2.371573499E2;1.007889252E3
2.381579279E2;1.007860184E3
2.391585029E2;1.007860184E3
2.401595329E2;1.007876892E3
2.411596559E2;1.007902908E3
2.421602329E2;1.007948532E3
2.431608089E2;1.007983780E3
2.441613849E2;1.008004913E3
2.451619619E2;1.008021011E3
2.461625429E2;1.008024292E3
2.471631199E2;1.008044357E3
2.481636919E2;1.008063736E3
2.491642769E2;1.008090744E3
2.501648499E2;1.008121185E3
2.511654299E2;1.008145905E3
2.521660049E2;1.008150177E3
2.531665759E2;1.008153000E3
2.541671589E2;1.008156281E3
2.551677329E2;1.008159866E3
2.561683079E2;1.008160172E3
2.571688879E2;1.008163376E3
2.581694619E2;1.008165970E3
2.591700379E2;1.008169479E3
2.601706189E2;1.008169632E3
2.611711909E2;1.008173370E3
2.621717699E2;1.008177109E3
2.631723389E2;1.008186798E3
2.641729169E2;1.008213272E3
2.651734909E2;1.008247604E3
2.661740709E2;1.008277969E3
2.671746469E2;1.008283997E3
2.681752249E2;1.008283997E3
2.691758039E2;1.008246307E3
2.701763739E2;1.008197556E3
2.711769479E2;1.008165131E3
2.721775289E2;1.008142853E3
2.731781059E2;1.008123627E3
2.741786779E2;1.008123627E3
2.751792539E2;1.008129272E3
2.761798319E2;1.008129272E3
2.771804099E2;1.008079224E3
2.781809849E2;1.008003769E3
2.791815659E2;1.007905960E3
2.801821389E2;1.007813187E3
2.811827179E2;1.007774048E3
2.821834519E2;1.007774048E3
2.831838729E2;1.007819214E3
2.841844459E2;1.007831192E3
2.851850219E2;1.007868500E3
2.861856029E2;1.007868500E3
2.871861779E2;1.007814941E3
2.881867519E2;1.007765732E3
2.891873299E2;1.007759628E3
2.901879059E2;1.007710419E3
2.911884849E2;1.007659988E3
2.921890619E2;1.007627869E3
2.931896359E2;1.007611542E3
2.941902089E2;1.007564545E3
2.951907849E2;1.007544632E3
2.961913649E2;1.007508926E3
2.971919459E2;1.007482147E3
2.981925219E2;1.007482147E3
2.991930949E2;1.007532501E3
3.001936739E2;1.007577896E3
3.011942469E2;1.007651443E3
3.021948269E2;1.007739029E3
3.031954029E2;1.007821808E3
3.041959809E2;1.007875900E3
3.051965509E2;1.007912674E3
3.061971269E2;1.007963791E3
3.071977049E2;1.007985916E3
3.081982859E2;1.007985916E3
3.091988639E2;1.007975540E3
3.101994359E2;1.007975235E3
3.112000169E2;1.007959137E3
3.122005899E2;1.007937241E3
3.132011669E2;1.007921143E3
3.142017399E2;1.007867126E3
3.152023209E2;1.007845612E3
3.162028889E2;1.007810669E3
3.172034729E2;1.007779922E3
3.182040459E2;1.007778091E3
3.192046229E2;1.007761688E3
3.202051999E2;1.007741776E3
3.212057739E2;1.007691879E3
3.222063529E2;1.007645569E3
3.232069309E2;1.007631760E3
3.242075029E2;1.007614975E3
3.252080919E2;1.007614975E3
3.262086569E2;1.007617264E3
3.272092289E2;1.007634735E3
3.282098149E2;1.007634735E3
3.292103879E2;1.007614670E3
3.302109679E2;1.007590179E3
3.312115409E2;1.007585297E3
3.322121169E2;1.007584534E3
3.332126949E2;1.007580872E3
3.342132719E2;1.007573853E3
3.352138489E2;1.007573853E3
3.362144249E2;1.007577438E3
3.372150009E2;1.007601089E3
3.382155759E2;1.007648544E3
3.392161529E2;1.007739182E3
3.402167319E2;1.007812424E3
3.412174879E2;1.007906570E3
3.422178809E2;1.007996979E3
3.432184619E2;1.008049469E3
3.442190379E2;1.008095627E3
3.452196139E2;1.008138199E3
3.462201909E2;1.008175659E3
3.472207689E2;1.008218155E3
3.482213409E2;1.008247910E3
3.492219159E2;1.008289108E3
3.502224889E2;1.008324051E3
3.512230729E2;1.008339233E3
3.522236439E2;1.008339233E3
3.532242259E2;1.008324051E3
3.542248069E2;1.008302536E3
3.552253759E2;1.008302536E3
3.562259529E2;1.008315277E3
3.572265339E2;1.008317947E3
3.582271079E2;1.008318939E3
3.592276819E2;1.008366013E3
3.602282589E2;1.008366013E3
3.612288419E2;1.008355789E3
3.622297679E2;1.008313141E3
3.632299879E2;1.008313141E3
3.642305669E2;1.008313141E3
3.652311419E2;1.008313904E3
3.662317159E2;1.008322983E3
3.672322969E2;1.008346329E3
3.682328729E2;1.008353424E3
3.692334439E2;1.008357086E3
3.702340239E2;1.008361206E3
3.712345989E2;1.008376999E3
3.722351779E2;1.008399277E3
3.732357529E2;1.008408356E3
3.742363369E2;1.008445892E3
3.752369099E2;1.008478470E3
3.762374869E2;1.008478470E3
3.772380569E2;1.008454437E3
3.782386339E2;1.008405838E3
3.792392119E2;1.008314209E3
3.802397839E2;1.008218613E3
3.812403679E2;1.008151321E3
3.822409439E2;1.008107300E3
3.832415139E2;1.008107300E3
3.842420949E2;1.008121109E3
3.852426679E2;1.008143158E3
3.862433309E2;1.008193359E3
3.872438209E2;1.008247757E3
3.882444019E2;1.008301544E3
3.892449839E2;1.008339386E3
3.902455599E2;1.008360672E3
3.912461299E2;1.008361206E3
3.922467089E2;1.008360672E3
3.932472809E2;1.008335419E3
3.942478589E2;1.008335419E3
3.952484359E2;1.008345795E3
3.962490119E2;1.008354721E3
3.972495899E2;1.008362961E3
3.982501679E2;1.008371048E3
3.992507459E2;1.008372650E3
4.002513229E2;1.008372650E3
4.012518989E2;1.008370590E3
4.022524769E2;1.008370590E3
4.032530479E2;1.008375320E3
4.042536269E2;1.008376923E3
4.052542039E2;1.008379364E3
4.062547799E2;1.008379517E3
4.072553599E2;1.008379517E3
4.082559339E2;1.008367844E3
4.092565109E2;1.008358307E3
4.102570839E2;1.008335953E3
4.112576619E2;1.008302612E3
4.122582379E2;1.008261108E3
4.132588209E2;1.008229446E3
4.142593879E2;1.008195038E3
4.152599659E2;1.008165741E3
4.162605379E2;1.008165741E3
4.172611169E2;1.008171539E3
4.182616919E2;1.008184662E3
4.192622699E2;1.008199081E3
4.202630419E2;1.008215942E3
4.212634269E2;1.008223190E3
4.222639979E2;1.008236389E3
4.232645779E2;1.008270645E3
4.242651529E2;1.008328629E3
4.252657259E2;1.008394470E3
4.262663009E2;1.008455963E3
4.272668829E2;1.008472595E3
4.282674529E2;1.008472595E3
4.292680349E2;1.008432465E3
4.302686069E2;1.008339081E3
4.312691829E2;1.008252258E3
4.322697639E2;1.008161926E3
4.332703369E2;1.008100891E3
4.342709139E2;1.008045883E3
4.352714909E2;1.008039474E3
4.362725099E2;1.008039474E3
4.372726469E2;1.008072968E3
4.382732169E2;1.008118210E3
