sensor,axis,start_time,end_time,start_idx,end_idx,mean,std,min,max,range,median,variance,dominant_freq,spectral_centroid,activity
Accelerometer,Acceleration x (m/s^2),105.0200836,110.0032145,6300,6600,0.40649155099611667,3.6848150551374754,-8.505401611,11.97819138,20.483592991000002,-0.0065840545575,13.577861990567797,4.4,10.079026825032756,walking
Accelerometer,Acceleration x (m/s^2),110.0198804,115.0030113,6600,6900,0.3169005207959267,3.9760896711524896,-8.113949776,12.76887608,20.882825856,-0.1783680245,15.809289073045514,3.6,9.720974623751248,walking
Accelerometer,Acceleration x (m/s^2),115.0196773,120.0028086,6900,7200,0.3317924627701467,3.794687478919976,-8.155249596,11.98297977,20.138229366,-0.048482584301,14.39965306267204,3.6,9.876874789537112,walking
Accelerometer,Acceleration x (m/s^2),120.0194745,125.0026054,7200,7500,0.3382588007879867,3.897170625997597,-7.633912086,12.85027885,20.484190936,-0.28700493275000005,15.1879388881385,3.6,9.414685434187849,walking
Accelerometer,Acceleration x (m/s^2),125.0192714,130.0024023,7500,7800,0.3063201454912799,3.7775709078978688,-8.453926086,12.45583439,20.909760476,-0.013467384964999999,14.270041964196329,3.6,10.130124420944354,walking
Accelerometer,Acceleration x (m/s^2),130.0190683,135.0021992,7800,8100,0.25989857430087665,4.291049706837098,-11.00794125,15.09065342,26.09859467,-0.24450784175,18.413107586546747,3.6,10.058650962001494,walking
Accelerometer,Acceleration x (m/s^2),135.0188652,140.001996,8100,8400,0.35684379403446664,3.5537570005986407,-7.234080315,12.36844635,19.602526665,-0.045489832755,12.629188819303847,3.6,9.98006610580103,walking
Accelerometer,Acceleration x (m/s^2),140.018662,145.0017929,8400,8700,0.31822531990593333,4.0720814805839245,-9.091980934,13.34707546,22.439056393999998,0.02992752101,16.58184758451457,3.6,9.153322412901552,walking
Accelerometer,Acceleration x (m/s^2),145.0184589,150.0015898,8700,9000,0.43225516071593345,3.989203615225769,-8.826823235,13.76486397,22.591687205,-0.077213004235,15.913745483730345,4.4,10.091199168327202,walking
Accelerometer,Acceleration x (m/s^2),150.0182558,155.0013867,9000,9300,0.26247633826843336,3.9046092817034372,-7.996035099,13.01667595,21.012711049,-0.3540425748,15.245973642764632,3.6,9.25033441001363,walking
Accelerometer,Acceleration x (m/s^2),155.0180527,160.0011836,9300,9600,0.2947102731108,3.8328686447343876,-10.23820496,13.35246277,23.59066773,-0.090081840755,14.69088204778802,3.6,10.588913069061116,walking
Accelerometer,Acceleration x (m/s^2),160.0178495,165.0009804,9600,9900,0.20412364799993665,4.544187514285267,-9.585186958,17.60516357,27.190350527999996,-0.1613093391,20.64964016498611,3.6,10.248964857540036,walking
Accelerometer,Acceleration x (m/s^2),165.0176464,170.0007773,9900,10200,0.6284480120481667,3.8650539686762833,-8.222886086,13.88397598,22.106862066,0.52133741975,14.938642180780286,3.6,10.452446015890265,walking
Accelerometer,Acceleration x (m/s^2),170.0174433,175.0005742,10200,10500,0.27519352947443365,3.9923618263209715,-7.80509758,13.91809273,21.72319031,-0.2439092994,15.938952952264923,3.6,9.502096780223525,walking
Accelerometer,Acceleration x (m/s^2),175.0172402,180.0003706,10500,10800,0.4241886907484667,3.9621463755344615,-9.080608368,14.07551193,23.156120297999998,-0.03411737457,15.69860390116087,3.6,10.290696221425264,walking
