"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
2.700500385E0;3.222788572E-1;-3.558530807E-1;2.603213310E0
2.717166374E0;3.057440519E-1;-5.650658607E-1;3.104079247E0
2.733832364E0;2.557641268E-1;-7.025501728E-1;3.323151588E0
2.750498353E0;1.132873297E-1;-9.392733574E-1;2.803380013E0
2.767164343E0;2.262625694E-1;-1.035811186E0;1.680751801E0
2.783830333E0;3.354184628E-1;-1.137820005E0;4.787712097E-1
2.800496322E0;3.701308966E-1;-1.367062330E0;-4.133329391E-1
2.817162312E0;4.176684618E-1;-1.333143711E0;-1.095229626E0
2.833828301E0;2.802234888E-1;-1.253442287E0;-1.450562477E0
2.850494291E0;2.409110069E-1;-1.298137665E0;-1.903574467E0
2.867160280E0;8.524348736E-1;-1.093513966E0;-1.762862206E0
2.883826270E0;7.876642942E-1;-1.310164690E0;-1.295908928E0
2.900492260E0;5.218163729E-1;-1.487975597E0;-7.951245308E-1
2.917158249E0;4.752910137E-1;-1.376322746E0;-6.839604378E-1
2.933824239E0;2.657622099E-1;-1.167278528E0;-1.112979889E0
2.950490228E0;3.454005718E-2;-8.047037125E-1;-1.778428555E0
2.967156218E0;-1.296901703E-2;-5.479807854E-1;-2.349912167E0
2.983822208E0;2.534750700E-1;-5.740532875E-1;-2.275021076E0
3.000488197E0;3.357708454E-2;-3.574080467E-1;-2.313697815E0
3.017154187E0;-2.034049630E-1;-5.880832672E-2;-2.329084873E0
3.033820176E0;-3.490504622E-1;1.211342812E-1;-2.443270206E0
3.050486166E0;-5.381923914E-2;2.760925293E-1;-2.167993069E0
3.067152155E0;5.158668160E-1;3.066492081E-1;-1.649169445E0
3.083818145E0;7.412025928E-1;4.783420563E-1;-9.019203186E-1
3.100484135E0;8.421755433E-1;6.049761772E-1;-6.733980179E-1
3.117150124E0;7.842485309E-1;7.241597176E-1;-9.442267418E-1
3.133816114E0;5.384651423E-1;9.091281891E-1;-7.625250816E-1
3.150482103E0;6.222479939E-1;9.444527626E-1;2.024927139E-1
3.167148093E0;5.913004875E-1;1.179216862E0;8.688259125E-2
3.183814083E0;2.963640094E-1;1.620382786E0;-6.245822906E-1
3.200480072E0;2.827399373E-1;1.762332916E0;-1.131388187E0
3.217146062E0;4.882497191E-1;1.790187359E0;-6.915197372E-1
3.233812051E0;4.989961386E-1;1.583697319E0;2.343997955E-1
3.250478041E0;7.953889370E-1;1.173334122E0;8.560314178E-1
3.267144030E0;1.257340670E0;7.165470123E-1;1.678705215E0
3.283810020E0;1.385715723E0;6.395759583E-1;2.432646751E0
3.300476010E0;1.019616604E0;1.385261536E0;2.418937683E0
3.317141999E0;3.494874239E-1;1.825563908E0;2.201581955E0
3.333807989E0;-5.761318207E-1;1.983098030E0;2.357777596E0
3.350473978E0;-1.531620264E0;1.953404903E0;2.823761940E0
3.367139968E0;-1.840734482E0;1.111388683E0;2.818434715E0
3.383805958E0;-8.895945549E-1;-1.905443668E-1;2.893865585E0
3.400471947E0;4.356544614E-1;-7.613310814E-1;3.050184250E0
3.417137937E0;5.229821205E-1;-8.415424824E-1;3.441793442E0
3.433803926E0;9.280443788E-1;-9.313626289E-1;2.813388824E0
3.450469916E0;3.633024693E-1;-1.051698685E0;1.377740860E0
3.467135905E0;-3.477221429E-1;-9.118771553E-1;-1.307039261E-1
3.483801895E0;-7.169656754E-1;-7.971889973E-1;-1.431845188E0
3.500467885E0;-9.202572703E-1;-8.778035641E-1;-2.025841236E0
3.517133874E0;-1.099637985E0;-1.125167370E0;-2.169406891E0
3.533799864E0;-1.123568296E0;-1.430284500E0;-2.026765347E0
3.550465853E0;-8.609234095E-1;-1.753749847E0;-1.702660561E0
3.567131843E0;-9.086385965E-1;-2.183693886E0;-1.258183956E0
3.583797833E0;-9.570350647E-1;-2.195760250E0;-1.235941887E0
3.600463822E0;-9.780991077E-1;-1.822984219E0;-1.453376770E0
3.617129812E0;-1.745553762E-1;-1.130679846E0;-2.075644493E0
3.633795801E0;-1.593073756E-1;-4.604973793E-1;-2.136998177E0
3.650461791E0;-6.973481774E-1;-9.381771088E-4;-1.941420078E0
3.667127780E0;-2.547328770E-1;2.057218552E-1;-2.293441772E0
3.683793770E0;2.750097811E-1;4.344122410E-1;-2.825376987E0
3.700459760E0;-4.053075016E-1;6.184046268E-1;-2.805480957E0
3.717125749E0;-3.160972595E-1;4.144103527E-1;-2.370368004E0
3.733791739E0;-4.927532077E-1;3.036026955E-1;-1.512313843E0
3.750457728E0;-6.792217493E-1;4.881029129E-1;-6.022224426E-1
3.767123718E0;-3.959062696E-1;7.713124752E-1;-1.819820404E-1
3.783789708E0;-1.546890140E-1;1.133486271E0;-1.265506744E-1
3.800455697E0;-4.026605487E-1;1.288795710E0;2.046842575E-1
3.817121687E0;2.596991658E-1;1.592168570E0;2.166032791E-1
3.833787676E0;1.113419294E0;1.814493656E0;1.123218536E-1
3.850453666E0;1.733299136E0;1.944763422E0;-1.601715088E-1
