"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)"
1.983862833E0;7.481880486E-2;4.122216702E0;1.142393303E1
2.000528822E0;-3.387795389E-1;4.174889088E0;1.187763500E1
2.017194812E0;-7.948749661E-1;4.057573318E0;1.234270859E1
2.033860801E0;-9.259575009E-1;3.885789394E0;1.326687050E1
2.050526791E0;-8.960300088E-1;3.350685358E0;1.410962963E1
2.067192780E0;-6.470330358E-1;2.665943623E0;1.419881344E1
2.083858770E0;-3.292027414E-1;2.082955360E0;1.388517284E1
2.100524760E0;-3.645172119E-1;2.003946781E0;1.284010410E1
2.117190749E0;-1.939303428E-1;2.010530949E0;1.156279755E1
2.133856739E0;-2.687491477E-1;2.167351007E0;1.008677197E1
2.150522728E0;-5.099649429E-1;2.516904593E0;8.482058525E0
2.167188718E0;-5.111620426E-1;2.788646460E0;7.407061577E0
2.183854708E0;-7.362170219E-1;2.568978310E0;6.798335552E0
2.200520697E0;-1.127070427E0;2.792237759E0;6.721721172E0
2.217186687E0;-1.116895080E0;3.048417330E0;6.818686485E0
2.233852676E0;-1.186326981E0;2.473809004E0;6.995258808E0
2.250518666E0;-6.392518282E-1;2.242169857E0;7.061697960E0
2.267184655E0;-5.734112859E-1;2.692279816E0;7.025186539E0
2.283850645E0;-7.302315533E-2;2.681505919E0;6.839036942E0
2.300516635E0;3.770867735E-2;2.875436306E0;6.737283707E0
2.317182624E0;-1.101332754E-1;3.426701069E0;6.947973251E0
2.333848614E0;-2.202665508E-1;3.754108191E0;6.988674641E0
2.350514603E0;-1.939303428E-1;3.814561844E0;6.670246124E0
2.367180593E0;1.358709484E-1;3.941454649E0;6.369174957E0
2.383846583E0;4.159925580E-1;4.009090900E0;6.315904140E0
2.400512572E0;4.082113802E-1;3.909132719E0;6.539163589E0
2.417178562E0;3.028665185E-1;4.036025524E0;7.281964302E0
2.433844551E0;3.429693878E-1;4.251503468E0;7.814674377E0
2.450510541E0;4.513070285E-1;4.527435303E0;8.054693222E0
2.467176530E0;4.860229492E-1;4.912901878E0;8.257601738E0
2.483842520E0;4.531026781E-1;5.173271179E0;8.415019989E0
2.500508510E0;6.590040326E-1;5.321712017E0;8.412626266E0
2.517174499E0;8.481459618E-1;5.467758179E0;8.703521729E0
2.533840489E0;8.900445104E-1;5.620986938E0;9.082404137E0
2.550506478E0;4.106055796E-1;6.030993938E0;9.552865028E0
2.567172468E0;1.556231081E-1;6.315305710E0;9.917980194E0
2.583838458E0;4.267664552E-1;6.286575317E0;1.031960773E1
2.600504447E0;9.349357486E-1;5.901707172E0;1.079126549E1
2.617170437E0;1.266532660E0;5.944204330E0;1.099058247E1
2.633836426E0;1.531690478E0;6.274005413E0;1.048600483E1
2.650502416E0;1.814206362E0;6.121375084E0;9.893440247E0
2.667168405E0;1.751957059E0;5.662287235E0;1.004487324E1
2.683834395E0;1.641823769E0;5.052364349E0;1.057997704E1
2.700500385E0;1.583165884E0;4.256890774E0;1.121204662E1
2.717166374E0;1.582567334E0;4.039018154E0;1.173278522E1
2.733832364E0;1.553238392E0;3.913921118E0;1.196083355E1
2.750498353E0;1.438316703E0;3.716998100E0;1.142991924E1
2.767164343E0;1.577180386E0;3.672705412E0;1.028189945E1
2.783830333E0;1.700481772E0;3.617040157E0;9.051877975E0
2.800496322E0;1.743577361E0;3.408744574E0;8.139687538E0
2.817162312E0;1.803432465E0;3.434482336E0;7.449558735E0
2.833828301E0;1.683722377E0;3.481169224E0;7.097012520E0
2.850494291E0;1.662773132E0;3.381211281E0;6.655880928E0
2.867160280E0;2.281075716E0;3.510498285E0;6.822876453E0
2.883826270E0;2.216432333E0;3.208230257E0;7.324461460E0
2.900492260E0;1.933317900E0;2.955641985E0;7.858368397E0
2.917158249E0;1.851915002E0;3.019088268E0;7.991845131E0
2.933824239E0;1.584961534E0;3.206434727E0;7.572859764E0
2.950490228E0;1.280897856E0;3.566163540E0;6.906673431E0
2.967156218E0;1.154603720E0;3.827131510E0;6.329071999E0
2.983822208E0;1.351526856E0;3.804386616E0;6.396708488E0
3.000488197E0;1.062427044E0;4.030638695E0;6.347627163E0
3.017154187E0;7.595604658E-1;4.340687752E0;6.320094109E0
3.033820176E0;5.662286878E-1;4.522646904E0;6.196792603E0
3.050486166E0;8.325836658E-1;4.663905144E0;6.470330238E0
3.067152155E0;1.391629696E0;4.665102005E0;6.997054577E0
3.083818145E0;1.608903527E0;4.802170277E0;7.759009361E0
3.100484135E0;1.702875972E0;4.899135113E0;8.001421928E0
3.117150124E0;1.635239720E0;4.990114689E0;7.742848396E0
3.133816114E0;1.374271750E0;5.151124954E0;7.936180115E0
3.150482103E0;1.438915253E0;5.178059578E0;8.911218643E0
3.167148093E0;1.391031146E0;5.431845188E0;8.791508675E0
3.183814083E0;1.086967587E0;5.904101372E0;8.066663742E0
3.200480072E0;1.080982089E0;6.068702698E0;7.547122478E0
3.217146062E0;1.309628367E0;6.100425720E0;7.984064102E0
3.233812051E0;1.349731207E0;5.881955147E0;8.918401718E0
3.250478041E0;1.674145579E0;5.441421986E0;9.560047150E0
3.267144030E0;2.139817715E0;4.939238071E0;1.041597462E1
3.283810020E0;2.229600430E0;4.818929672E0;1.120965195E1
3.300476010E0;1.768117905E0;5.545569897E0;1.123000336E1
3.317141999E0;9.750386477E-1;5.987898350E0;1.103726959E1
3.333807989E0;-6.105214357E-2;6.154893875E0;1.121264553E1
3.350473978E0;-1.083376288E0;6.130353451E0;1.169866848E1
3.367139968E0;-1.388636947E0;5.258265495E0;1.172320843E1
3.383805958E0;-3.908534348E-1;3.876811028E0;1.184710884E1
3.400471947E0;9.876081944E-1;3.193266630E0;1.206438255E1
3.417137937E0;1.109712481E0;3.005920172E0;1.251568985E1
3.433803926E0;1.537676096E0;2.845508814E0;1.192791271E1
3.450469916E0;9.504981041E-1;2.702455282E0;1.050755310E1
3.467135905E0;1.759738177E-1;2.842515945E0;9.000402451E0
3.483801895E0;-2.825157940E-1;2.950255156E0;7.697957039E0
3.500467885E0;-5.853823423E-1;2.834136248E0;7.110779285E0
3.517133874E0;-8.547300100E-1;2.518101692E0;6.985083580E0
3.533799864E0;-9.522937536E-1;2.116474390E0;7.154473305E0
3.550465853E0;-7.517793179E-1;1.683123827E0;7.510012150E0
3.567131843E0;-8.487445116E-1;1.152209520E0;7.982268333E0
3.583797833E0;-9.331400990E-1;1.068412542E0;8.020575523E0
3.600463822E0;-9.744400978E-1;1.411980510E0;7.803301811E0
3.617129812E0;-1.592144072E-1;2.112883091E0;7.166444302E0
3.633795801E0;-1.035492271E-1;2.822165251E0;7.080253124E0
3.650461791E0;-5.650315881E-1;3.354875088E0;7.239467621E0
3.667127780E0;-1.077390742E-2;3.654748917E0;6.840234280E0
3.683793770E0;6.338648796E-1;3.970185041E0;6.259041786E0
3.700459760E0;3.711012751E-2;4.214393616E0;6.239888191E0
3.717125749E0;1.789665818E-1;4.028842926E0;6.654683590E0
3.733791739E0;3.471592441E-2;3.904344320E0;7.510012150E0
3.750457728E0;-1.155202314E-1;4.062960148E0;8.425794601E0
3.767123718E0;2.238578647E-1;4.327519417E0;8.850166321E0
3.783789708E0;5.386953950E-1;4.687847137E0;8.902240753E0
3.800455697E0;3.722983599E-1;4.862623692E0;9.222464561E0
3.817121687E0;1.133654475E0;5.207987309E0;9.212289810E0
3.833787676E0;2.085349798E0;5.480327606E0;9.082404137E0
3.850453666E0;2.781463861E0;5.656301498E0;8.786121368E0
3.867119655E0;1.919551253E0;5.476137638E0;8.092401505E0
3.883785645E0;1.763928056E0;4.901529312E0;9.548076630E0
3.900451635E0;1.231218219E0;4.845265865E0;1.110311031E1
3.917117624E0;9.080010056E-1;4.663306236E0;1.180939960E1
3.933783614E0;8.271966577E-1;4.711789131E0;1.167831707E1
3.950449603E0;7.074866295E-1;5.222352505E0;1.098758984E1
3.967115593E0;8.672995567E-1;5.198410511E0;1.049618053E1
3.983781583E0;1.021126986E0;4.721365929E0;1.044829655E1
4.000447572E0;1.477820992E0;4.489128113E0;1.074936676E1
4.017113562E0;2.025494576E0;3.733757496E0;1.158135223E1
4.033779551E0;2.259527922E0;3.157353401E0;1.207994461E1
4.050445541E0;1.909974456E0;3.133411407E0;1.275032139E1
4.067111530E0;1.804629564E0;3.116053581E0;1.251269627E1
4.083777520E0;1.964442492E0;2.727594376E0;1.146104336E1
4.100443510E0;2.120065689E0;2.145204782E0;1.024838066E1
4.117109499E0;1.763329506E0;2.027888775E0;9.214683533E0
4.133775489E0;1.548449993E0;2.178124905E0;8.340201378E0
4.150441478E0;1.877652645E0;2.141014814E0;7.745841026E0
4.167107468E0;1.744774461E0;2.248155355E0;7.501632690E0
4.183773458E0;1.540668845E0;2.321178436E0;7.562086105E0
4.200439447E0;1.498770237E0;2.161964178E0;7.302913666E0
4.217105437E0;1.881842494E0;1.951872945E0;7.035361767E0
4.233771426E0;1.051653147E0;1.729212165E0;7.266402245E0
4.250437416E0;7.212532759E-1;2.375646591E0;7.653664112E0
4.267103405E0;9.247604012E-1;2.635417461E0;7.895478725E0
4.283769395E0;9.469067454E-1;2.729389906E0;7.531559944E0
4.300435385E0;5.081692934E-1;3.186083794E0;7.313088894E0
4.317101374E0;2.118868530E-1;3.395576477E0;7.087435722E0
4.333767364E0;3.046621680E-1;3.488351822E0;6.970718384E0
4.350433353E0;4.620809257E-1;3.423708439E0;7.105990410E0
4.367099343E0;5.165489912E-1;3.678092480E0;7.249642849E0
4.383765333E0;8.224082589E-1;3.873818398E0;7.468712330E0
4.400431322E0;9.205705523E-1;3.770269156E0;7.617751122E0
4.417097312E0;9.786299467E-1;3.740940094E0;8.475474358E0
4.433763301E0;8.672995567E-1;3.363254786E0;9.549872398E0
4.450429291E0;8.451532125E-1;3.198055029E0;1.043452930E1
4.467095280E0;6.655880809E-1;3.469796896E0;1.084573364E1
4.483761270E0;-1.436521020E-2;4.410717964E0;9.913191795E0
4.500427260E0;-5.847837925E-1;5.181052685E0;8.398859978E0
4.517093249E0;-1.124077678E0;5.777208805E0;7.256227016E0
4.533759239E0;-9.816226959E-1;6.029797077E0;7.372944355E0
4.550425228E0;-1.945288926E-1;5.770026207E0;8.091204643E0
4.567091218E0;-3.950432688E-2;5.185841084E0;9.010578156E0
4.583757208E0;-4.578910768E-1;4.808753967E0;9.498994827E0
4.600423197E0;-9.702502489E-1;4.903325081E0;9.782708168E0
4.617089187E0;-1.738788962E0;5.022436619E0;1.045547867E1
4.633755176E0;-1.648407817E0;5.095459938E0;1.164120674E1
4.650421166E0;-1.550245643E0;4.725555420E0;1.292090797E1
4.667087155E0;-1.335366011E0;3.731961966E0;1.441907978E1
4.683753145E0;-8.188169599E-1;2.458246708E0;1.509723759E1
4.700419135E0;-8.750807047E-1;1.999756932E0;1.454357815E1
4.717085124E0;-7.392097712E-1;1.463455796E0;1.319205093E1
4.733751114E0;-3.573346138E-1;1.811213613E0;1.079306126E1
4.750417103E0;-6.290764809E-1;2.862866640E0;8.935759544E0
4.767083093E0;-6.530185342E-1;3.228580952E0;7.515997887E0
4.783749083E0;-8.750807047E-1;3.122039080E0;7.268796444E0
4.800415072E0;-9.516952038E-1;2.803011656E0;7.755417824E0
4.817081062E0;-9.026140571E-1;2.430713177E0;8.404246330E0
4.833747051E0;-4.495113790E-1;2.214636564E0;8.687360764E0
4.850413041E0;-1.795651205E-2;2.514510393E0;8.003217697E0
4.867079030E0;2.645592988E-1;2.906560898E0;6.854599476E0
4.883745020E0;1.151610970E0;2.311601639E0;5.974730492E0
4.900411010E0;1.269525409E0;2.030282974E0;5.705382824E0
4.917076999E0;4.016273320E-1;2.562992811E0;5.926846504E0
4.933742989E0;-4.112041295E-1;3.491344690E0;6.248866558E0
4.950408978E0;5.985504016E-3;3.543418407E0;6.672041416E0
4.967074968E0;1.045069098E0;2.583942175E0;6.851606846E0
4.983740958E0;1.179742932E0;2.756923199E0;7.541136742E0
5.000406947E0;1.168969035E0;2.964620352E0;7.711124897E0
5.017072937E0;1.115697980E0;2.923320293E0;7.953537941E0
5.033738926E0;1.029506683E0;2.920926094E0;8.143877029E0
5.050404916E0;7.577648163E-1;3.513490915E0;8.359953880E0
5.067070905E0;9.307458997E-1;3.929483652E0;8.259397507E0
5.083736895E0;1.373074651E0;3.842095137E0;8.788516045E0
5.191164376E0;2.664147854E0;3.742137194E0;7.299322605E0
5.207830365E0;2.646191359E0;3.833117008E0;7.860762596E0
5.224496355E0;2.326565504E0;3.688866377E0;8.793304443E0
5.241162345E0;9.379284978E-1;3.525461912E0;8.610147476E0
5.257828334E0;-7.541735470E-2;3.120243311E0;7.684190273E0
5.274494324E0;9.804255962E-1;2.822165251E0;6.906075001E0
5.291160313E0;2.755726099E0;2.591723442E0;6.376357555E0
5.307826303E0;3.785831451E0;2.377442360E0;5.899312973E0
5.324492293E0;3.530250311E0;2.723404408E0;5.897517204E0
5.341158282E0;3.388992548E0;2.944868088E0;6.090848923E0
5.357824272E0;3.158550501E0;3.181894064E0;6.051344872E0
5.374490261E0;3.197456360E0;3.292625904E0;5.868188381E0
5.391156251E0;3.451840401E0;3.489548922E0;5.811924458E0
5.407822240E0;3.892373323E0;3.676895142E0;5.871181011E0
5.424488230E0;3.730764866E0;4.239532471E0;5.826888561E0
5.441154220E0;1.929128051E0;4.985326290E0;5.886145115E0
5.457820209E0;9.319429994E-1;5.847239017E0;6.593032837E0
5.474486199E0;1.188122630E0;6.301538944E0;7.170035362E0
5.491152188E0;2.840720415E0;5.102642536E0;7.570465565E0
5.507818178E0;3.118447781E0;4.374804974E0;7.490858555E0
5.524484168E0;3.106476784E0;4.735731125E0;7.325059891E0
5.541150157E0;2.966415882E0;5.178658485E0;7.392696381E0
5.557816147E0;3.068768024E0;5.087080002E0;7.453748226E0
5.574482136E0;3.596689463E0;5.182249546E0;7.654263020E0
5.591148126E0;4.029441357E0;5.058349609E0;8.013393402E0
5.607814115E0;3.685873508E0;4.739920616E0;8.510788918E0
5.624480105E0;3.499724388E0;4.777030945E0;9.397840500E0
5.641146095E0;2.993949175E0;5.493495941E0;1.050994682E1
5.657812084E0;2.914940596E0;6.160879612E0;1.111987019E1
5.674478074E0;3.781043053E0;5.652710438E0;1.068472385E1
5.691144063E0;4.377797604E0;4.699818134E0;1.036030960E1
5.707810053E0;4.720168591E0;4.347870350E0;9.880870819E0
5.724476043E0;4.459799290E0;4.371812344E0;1.023401546E1
5.741142032E0;4.138377666E0;4.124610901E0;1.162684155E1
5.757808022E0;4.210203648E0;2.927510023E0;1.322796440E1
5.774474011E0;4.135983467E0;1.175553083E0;1.258272743E1
5.791140001E0;4.009689331E0;9.205705523E-1;1.105283260E1
5.807805990E0;3.973776340E0;1.339555860E0;9.919775963E0
5.824471980E0;3.499724388E0;1.785475969E0;9.675567627E0
5.841137970E0;3.285443306E0;1.741781712E0;9.023147583E0
5.857803959E0;2.990357876E0;1.409586191E0;8.082226753E0
