"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
3.577619958E0;-1.037904061E-2;8.109583519E-3;-9.260086715E-2
3.592696958E0;3.384172916E-2;-2.151089720E-2;-8.631133288E-2
3.607773958E0;8.320065588E-2;-2.167494223E-2;-9.701717645E-2
3.622849958E0;7.156866789E-2;-1.816808991E-2;-1.142512560E-1
3.637926958E0;4.196603596E-2;-1.925093122E-2;-1.218236834E-1
3.653003958E0;1.004938409E-2;-5.069598556E-3;-1.342345476E-1
3.668079958E0;4.097496625E-3;1.843945310E-2;-1.391962320E-1
3.683156958E0;7.216046099E-3;4.641702771E-2;-1.283598840E-1
3.698233958E0;-1.396300830E-2;5.518708378E-2;-1.151580662E-1
3.713309958E0;-2.829795331E-2;6.979078799E-2;-1.000995040E-1
3.728386958E0;-2.192150243E-2;7.098814845E-2;-8.678800613E-2
3.743463958E0;8.524508215E-3;6.065908074E-2;-7.035944611E-2
3.758539958E0;4.731824249E-2;3.871623427E-2;-5.957098305E-2
3.773616958E0;7.809351385E-2;2.157479152E-2;-5.733877420E-2
3.788693958E0;8.001615852E-2;-6.735673174E-3;-5.952251703E-2
3.803769958E0;5.623191968E-2;-1.505328529E-2;-7.093700022E-2
3.818846958E0;3.219982237E-2;-1.056905463E-2;-7.305102050E-2
3.833923958E0;1.492814720E-2;-2.855415456E-2;-7.676000893E-2
3.848999958E0;1.451011561E-2;-3.879454359E-2;-6.369066983E-2
3.864076958E0;3.147509322E-2;-1.935106888E-2;-4.939854145E-2
3.879153958E0;2.583558112E-2;6.903969683E-3;-3.755732626E-2
3.894230958E0;-1.321760751E-2;-6.036601961E-3;-3.586627916E-2
3.909306958E0;-2.305615693E-2;-1.256559789E-2;-1.909356937E-2
3.924383958E0;2.259580418E-3;-6.730080582E-3;-2.773221582E-3
3.939460958E0;3.049414791E-2;2.993918955E-3;4.041958600E-4
3.954536958E0;3.602031991E-2;-4.069847055E-3;-7.593768649E-3
3.969613958E0;4.467572644E-2;-1.034533512E-2;-9.094343521E-3
3.984690958E0;5.498058721E-2;-1.669807360E-3;-1.552919578E-2
3.999766958E0;2.245007642E-2;1.210933551E-3;-2.053301036E-2
4.014843958E0;-3.074690513E-2;4.140664823E-3;-5.074936152E-2
4.029920958E0;-6.688214093E-2;3.359816596E-2;-6.859795004E-2
4.044996958E0;-7.729479671E-2;3.665840253E-2;-7.755138725E-2
4.060073958E0;-4.810123146E-2;2.709259093E-2;-8.231418580E-2
4.075150958E0;1.229958981E-2;1.938354224E-2;-6.007460505E-2
4.090227958E0;7.659762353E-2;8.189165965E-4;-3.095662780E-2
4.105303958E0;1.075811014E-1;-4.179571755E-3;-8.413536474E-3
4.120380958E0;8.775786310E-2;-7.165507879E-3;-1.051503699E-2
4.135457958E0;5.250849202E-2;-1.793852635E-2;-2.122059651E-2
4.150533958E0;3.327933699E-2;-2.172900364E-2;-2.835179679E-2
4.165610958E0;1.714855991E-2;-2.108106017E-2;-4.448955879E-2
4.180687958E0;2.402637154E-3;-7.139146328E-3;-7.074220479E-2
4.195763958E0;-4.197564907E-3;2.969418652E-3;-9.533613175E-2
4.210840958E0;-8.335856721E-3;2.835972980E-2;-1.271763891E-1
4.225917958E0;-1.475396659E-2;3.825683892E-2;-1.451782733E-1
4.240993958E0;-2.999790199E-2;6.688022614E-2;-1.549632698E-1
4.256070958E0;-2.840109915E-2;6.873056293E-2;-1.370587498E-1
4.271147958E0;-1.981766894E-2;6.001485139E-2;-1.120971516E-1
4.286224958E0;-1.472504809E-3;5.065198243E-2;-8.593166620E-2
4.301300958E0;1.506146416E-2;3.419764340E-2;-7.294236869E-2
4.316377958E0;3.201878816E-2;1.482020598E-2;-6.804767996E-2
4.331454958E0;5.114504695E-2;1.480712555E-3;-7.045265287E-2
4.346530958E0;4.834520817E-2;-1.573668793E-3;-7.202154398E-2
4.361607958E0;2.505160496E-2;-1.432541665E-2;-6.245120615E-2
4.376684958E0;-2.172176540E-2;-7.432978600E-4;-7.354011387E-2
4.391760958E0;-7.894862443E-2;2.995122969E-2;-9.426908195E-2
4.406837958E0;-1.217096597E-1;3.089159913E-2;-1.017239988E-1
4.421914958E0;-1.564884037E-1;5.641693622E-2;-1.224985123E-1
4.436990958E0;-1.508174092E-1;3.668237478E-2;-1.041737795E-1
4.452067958E0;-1.066177338E-1;3.393159434E-2;-6.294065714E-2
4.467144958E0;-6.800338626E-2;3.081596270E-2;-2.948812023E-2
4.482221958E0;-5.528252944E-2;1.768844202E-2;-8.250744082E-3
4.497297958E0;-5.397912487E-2;-4.423251376E-3;-1.568307355E-2
4.512374583E0;-2.030287310E-2;-2.567847073E-2;-2.168322168E-2
4.527451583E0;1.994734444E-2;-2.982634306E-2;-3.200723231E-2
4.542527583E0;4.602554813E-2;-2.577887103E-2;-2.054791711E-2
4.557604583E0;3.164943308E-2;-2.875122614E-2;-1.966242120E-2
4.572681583E0;4.626888840E-4;-2.289414033E-2;-1.610955410E-2
4.587757583E0;-3.437373787E-2;-2.793736383E-2;-1.881178841E-2
4.602834583E0;-7.388785481E-2;-2.804149315E-2;-2.146403119E-2
4.617911583E0;-9.471100569E-2;-2.423503622E-2;-1.947224513E-2
4.632988583E0;-9.587188810E-2;-2.793204039E-2;8.560917340E-4
4.648064583E0;-9.538069367E-2;-1.481437124E-2;1.330777816E-2
4.663141583E0;-1.088682711E-1;-2.464303374E-2;2.264002711E-2
4.678218583E0;-9.039594233E-2;-1.607590914E-2;5.812079459E-2
4.693294583E0;-7.052678615E-2;-8.447285742E-3;8.542831987E-2
4.708371583E0;-6.343110651E-2;-2.242781967E-2;1.129441559E-1
4.723448583E0;-4.397591576E-2;-3.758360073E-2;1.570506245E-1
4.738524583E0;-2.499437518E-2;-3.653113917E-2;1.910840571E-1
4.753601583E0;-3.713016212E-2;-4.837339744E-2;2.003509104E-1
4.768678583E0;-4.820608348E-2;-4.523006827E-2;1.972606033E-1
4.783755583E0;-5.201227590E-2;-4.029656202E-2;1.818259805E-1
4.798831583E0;-4.013952613E-2;-3.202558309E-2;1.712671071E-1
4.813908583E0;-2.419640310E-2;-3.280988708E-2;1.518196613E-1
4.828985583E0;-2.357520722E-2;-3.281467780E-2;1.270548552E-1
4.844061583E0;-4.928722605E-2;1.631180756E-3;1.072052494E-1
4.859138583E0;-9.600573778E-2;2.733388171E-2;8.442376554E-2
4.874215583E0;-1.319587827E-1;2.384087816E-2;6.474356353E-2
4.889291583E0;-1.245175451E-1;3.210519999E-2;5.365543440E-2
4.904368583E0;-8.412404358E-2;4.364893585E-2;4.070767760E-2
4.919445583E0;-4.816619679E-2;3.697745502E-2;3.969385102E-2
4.934521583E0;-4.432830215E-2;1.976437680E-2;4.020896927E-2
4.949598583E0;-3.760250285E-2;7.070688531E-3;3.698755056E-2
4.964675583E0;-2.470960468E-2;1.048672572E-2;2.575353533E-2
4.979752583E0;-2.372589149E-2;1.289497130E-3;2.107061259E-2
4.994828583E0;-6.049883552E-3;-2.346912026E-2;3.192817047E-2
5.009905583E0;1.469228230E-2;-3.790504485E-2;4.877306148E-2
5.024982583E0;2.828239277E-2;-4.033571109E-2;5.845258385E-2
5.040058583E0;4.168258607E-2;-3.224982321E-2;5.628515035E-2
5.055135583E0;3.913994133E-2;-2.504437417E-2;6.294800341E-2
5.070212583E0;4.691121727E-2;-1.534753665E-2;7.524148375E-2
5.085288583E0;3.625963628E-2;-7.485885173E-3;7.089893520E-2
5.100365583E0;3.075483255E-2;2.511354163E-3;7.246355712E-2
5.115442583E0;4.711495712E-2;1.991936937E-2;7.240475714E-2
5.130519583E0;5.718902871E-2;2.557885274E-2;7.529889792E-2
5.145595583E0;5.126562342E-2;3.663922846E-2;6.389151514E-2
5.160672583E0;4.492098093E-2;3.148628399E-2;4.660529643E-2
5.175749583E0;4.399695620E-2;4.130904377E-2;5.173553526E-2
5.190825583E0;2.894702181E-2;4.255997390E-2;4.134742916E-2
5.205902583E0;-6.277011707E-3;3.471643105E-2;3.803232685E-2
5.220979583E0;-3.439279646E-2;3.094565868E-2;2.796800621E-2
5.236055583E0;-5.253547058E-2;2.223818377E-2;1.654787734E-2
5.251132583E0;-5.270719156E-2;2.756024525E-2;8.271025494E-3
5.266209583E0;-5.273329094E-2;2.895068005E-2;-1.674283296E-3
5.281286583E0;-5.668026209E-2;2.835547179E-2;-1.131498348E-2
5.296362583E0;-5.243822560E-2;2.081659250E-2;-2.802712657E-2
5.311439583E0;-4.033208266E-2;2.776074223E-3;-4.876970872E-2
5.326516583E0;-1.256782934E-2;-6.367675960E-4;-5.108239874E-2
5.341592583E0;2.415114432E-4;7.153134793E-4;-5.933917314E-2
5.356669583E0;-1.480828971E-2;6.347639486E-3;-6.015630066E-2
5.371746583E0;-5.134563521E-2;1.011441369E-2;-6.324184686E-2
5.386822583E0;-7.656017691E-2;7.516500540E-3;-4.189900309E-2
5.401899583E0;-6.881138682E-2;-1.384583302E-3;-2.084296942E-2
5.416976583E0;-5.710614845E-2;-9.151428938E-3;-2.189301327E-2
5.432053583E0;-2.837586589E-2;-6.368689705E-3;3.094687127E-4
5.447129583E0;3.086452838E-3;9.117592126E-3;2.345926315E-2
5.462206583E0;7.457702886E-3;1.402872894E-2;2.955358662E-2
5.477283583E0;2.892314224E-3;-9.993787855E-3;2.549128421E-2
5.492359583E0;8.072467521E-3;-2.178492956E-2;3.351185098E-2
5.507436958E0;4.482382536E-2;-2.481294423E-2;4.357726499E-2
