"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.350127583E0;-1.529369659E0;8.094866638E0;4.852459259E0
2.365204583E0;-1.588047638E0;7.951464844E0;4.604574738E0
2.380280583E0;-1.725761261E0;7.947722626E0;4.542753296E0
2.395357583E0;-1.825603638E0;8.056546326E0;4.633464661E0
2.410434583E0;-1.710343323E0;8.128696289E0;4.727768555E0
2.425510583E0;-1.667682037E0;8.196355591E0;4.932542725E0
2.440587583E0;-1.803150330E0;8.116122437E0;4.973856812E0
2.455664583E0;-1.730551300E0;7.956853638E0;4.765041046E0
2.470740583E0;-1.638193359E0;7.885003052E0;4.646936646E0
2.485817583E0;-1.758393402E0;7.930508423E0;4.799619141E0
2.500894833E0;-1.822759552E0;8.042325897E0;4.800816650E0
2.515970833E0;-1.945803680E0;8.001460876E0;4.785398712E0
2.531047833E0;-1.978585510E0;7.914491730E0;4.829257507E0
2.546124833E0;-1.948198700E0;7.922874298E0;4.885690155E0
2.561200833E0;-2.003134460E0;7.995323639E0;5.027445374E0
2.576277833E0;-2.015109558E0;8.193810883E0;5.003944244E0
2.591354833E0;-1.983076172E0;8.426427155E0;5.024451599E0
2.606430833E0;-1.936223602E0;8.631949768E0;5.159171448E0
2.621507833E0;-1.856289825E0;8.654702454E0;5.293442230E0
2.636584833E0;-1.753303986E0;8.683742065E0;5.361550598E0
2.651660833E0;-1.743574219E0;8.730145569E0;5.399870911E0
2.666737833E0;-1.823957062E0;8.762478333E0;5.342091064E0
2.681814833E0;-1.781146088E0;8.659791870E0;5.230722656E0
2.696890833E0;-1.618584137E0;8.522527313E0;5.183720398E0
2.711967833E0;-1.583556976E0;8.530909882E0;5.216202850E0
2.727044833E0;-1.698817291E0;8.520581360E0;5.157075806E0
2.742120833E0;-1.760638733E0;8.295748901E0;4.986730042E0
2.757197833E0;-1.721270599E0;8.144563293E0;5.020260315E0
2.772274833E0;-1.582359467E0;8.282725983E0;5.008135529E0
2.787350833E0;-1.716929626E0;8.554560699E0;5.190456390E0
2.802427833E0;-1.795067139E0;8.771459656E0;5.239254913E0
2.817504833E0;-1.875899048E0;8.715775452E0;5.060526581E0
2.832580833E0;-1.768272858E0;8.457263031E0;4.949008484E0
2.847657833E0;-1.540895691E0;8.455466766E0;4.970264282E0
2.862734833E0;-1.555714874E0;8.517437897E0;4.998854828E0
2.877810833E0;-1.701811066E0;8.422834625E0;4.683610382E0
2.892887833E0;-1.636247406E0;8.170609131E0;4.608766022E0
2.907964833E0;-1.554667053E0;8.229586487E0;4.856201477E0
2.923040833E0;-1.492246857E0;8.437055054E0;4.924758911E0
2.938117833E0;-1.608854370E0;8.369395752E0;4.930896149E0
2.953194833E0;-1.634750519E0;8.338110809E0;4.893773346E0
2.968270833E0;-1.609153748E0;8.531957703E0;4.921316071E0
2.983347833E0;-1.545236664E0;8.659492493E0;4.974904633E0
2.998424833E0;-1.435664520E0;8.709488525E0;4.968617706E0
3.013500833E0;-1.526375885E0;8.565787354E0;4.959187317E0
3.028577833E0;-1.372645569E0;8.366851044E0;4.997357941E0
3.043654833E0;-1.310973816E0;8.276139679E0;4.988376617E0
3.058731833E0;-1.306483154E0;8.204139404E0;5.032235413E0
3.073807833E0;-1.336570587E0;8.355474701E0;5.103187866E0
3.088884833E0;-1.493743744E0;8.451425171E0;5.084626465E0
3.103961833E0;-1.493444366E0;8.389903107E0;5.149291992E0
3.119037833E0;-1.340163116E0;8.398435364E0;5.098547516E0
3.134114833E0;-1.157093811E0;8.382718048E0;5.038222961E0
3.149191833E0;-1.141226807E0;8.347690887E0;5.134622498E0
3.164267833E0;-1.285077667E0;8.385861511E0;5.154680786E0
3.179344833E0;-1.262025604E0;8.301736450E0;5.070705414E0
3.194421833E0;-1.129700775E0;8.085735626E0;4.920717316E0
3.209497833E0;-9.812095642E-1;7.965385895E0;4.812342682E0
3.224574833E0;-9.858499146E-1;8.036937103E0;4.857249298E0
