Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2)
5.649715875;-3.008593597;9.046886902;2.684068451
5.666047875;-2.895129547;8.911568298;2.696342926
5.682379875;-2.858904877;8.879534912;2.751428375
5.698712875;-2.909200287;8.865913239;2.775827637
5.715044875;-2.92521698;8.872349854;2.787203979
5.731375875;-3.003055115;8.966653748;2.827619934
5.747707875;-3.037333832;8.954978027;2.793341217
5.764040875;-3.073708191;9.029972076;2.789000244
5.780372875;-3.059487762;8.996591492;2.784210205
5.796704875;-3.052003326;8.924740906;2.734064484
5.813035875;-3.046464844;8.895401917;2.754871216
5.829369875;-3.07610321;8.903335419;2.749332733
5.845700875;-3.042572937;8.897946625;2.728526001
5.862032875;-3.03404068;8.891060944;2.70173172
5.878364875;-3.019071808;8.888216858;2.687810669
5.894697875;-2.978655853;8.969946899;2.694995728
5.911029875;-2.987038422;9.088799744;2.6701474
5.927360875;-2.988535309;9.116791534;2.648143158
5.943692875;-2.975213013;9.064550171;2.615810394
5.960025875;-2.968177643;9.022188263;2.592608643
5.976357875;-2.973267059;8.906628571;2.580184479
5.992689875;-2.99542099;8.858279114;2.602188721
6.009021875;-3.03523819;8.815318451;2.643652496
6.025354875;-3.107687531;8.847202148;2.663710785
6.041685875;-3.09960434;8.927584991;2.663860474
6.058017875;-3.03404068;8.969946899;2.729124756
6.074349375;-3.025658112;8.990454254;2.727927246
6.090682375;-3.015030212;9.017398224;2.688708801
6.107014375;-2.96847702;8.971294098;2.646945648
6.123346375;-2.998863831;9.010512543;2.460283813
6.139677375;-2.954555969;8.888366547;2.594404907
6.156010375;-3.02116745;9.032367096;2.532882843
6.172342375;-3.0058992;9.080417175;2.471510468
6.188674375;-2.956501923;9.072483673;2.43498642
6.205006375;-2.949616241;9.065597992;2.424358521
6.221339375;-2.92521698;9.030421143;2.407443695
6.237671375;-2.905907135;8.991651764;2.421514435
6.254002375;-2.914140015;9.000034332;2.465073853
6.270334375;-2.934347992;9.008865967;2.520458679
6.286667375;-2.925965424;9.031019897;2.555785217
6.302999375;-2.896327057;9.068891144;2.591411133
6.319331375;-2.916684723;9.096882935;2.606679382
6.335663375;-2.936593323;9.093739471;2.616558838
6.351996375;-2.937641144;9.056317291;2.58467514
6.368327375;-2.939587097;8.929381256;2.542462921
6.384659375;-3.045566711;8.840466156;2.565814362
6.400991375;-3.166814575;8.844058685;2.59994339
6.417324375;-3.197351074;8.899892578;2.614163818
6.433656375;-3.113226013;8.937464447;2.610571289
6.449988375;-3.0058992;8.975186005;2.611469421
6.466319375;-2.938239899;8.978628845;2.621498566
6.482652375;-2.926863556;8.980724487;2.612666931
6.498984375;-2.881507874;8.936416626;2.653831329
6.515316375;-2.913990326;8.927435303;2.687062225
6.531648375;-2.976859589;8.949439545;2.701282654
6.547981375;-2.984194336;9.010662231;2.718197479
6.564312375;-2.996768188;9.036857758;2.636617126
6.580644375;-2.998115387;9.027277679;2.613565063
6.596976375;-2.994373169;9.087302856;2.644999695
6.613309375;-2.967728577;9.135352936;2.649789734
6.629641375;-2.928061066;9.132359161;2.62568985
6.645973375;-2.896027679;9.077872467;2.638413391
6.662304375;-2.913840637;8.97578476;2.630030823
6.678637375;-2.950514374;8.871152344;2.686014404
6.694969375;-3.010090485;8.82250351;2.717598724
6.711301375;-3.031795349;8.838370514;2.770139465
6.727633375;-3.039429474;8.907526703;2.771636353
6.743966375;-2.937042389;8.928333435;2.755170593
6.760298375;-2.913241882;8.939709778;2.765798492
6.776629375;-2.941533051;8.90902359;2.795436859
6.792961375;-2.909349976;8.832682343;2.774031372
6.809294375;-2.916235657;8.816066895;2.814597015
6.825626375;-2.913990326;8.794212341;2.791994019
6.841958375;-2.951262817;8.805438995;2.794089661
6.858290375;-2.957250366;8.863218842;2.795885925
6.874623375;-2.918630676;8.915160828;2.823129272
6.890954375;-2.932551727;9.015302582;2.753673706
6.907286375;-2.916535034;9.042845306;2.782114563
6.923618375;-2.936144257;9.057814178;2.741099854
6.939951375;-2.912942505;9.020391998;2.721191254
6.956283375;-2.938988342;8.953331451;2.730022888
