"Time (s)";"X (rad/s)";"Y (rad/s)";"Z (rad/s)"
4.023670375E0;6.758061647E-1;5.373328328E-1;-5.880191177E-2
4.038789375E0;6.864264607E-1;4.699654877E-1;-1.252169162E-1
4.053907375E0;7.023333311E-1;3.611117005E-1;-1.262918562E-1
4.069026375E0;6.543813944E-1;2.252391428E-1;-3.459635004E-2
4.084145375E0;6.063299775E-1;1.909490675E-1;4.359405860E-2
4.099264375E0;5.883550644E-1;2.992906570E-1;9.358882904E-2
4.114382375E0;5.743252635E-1;5.552723408E-1;8.158545196E-2
4.129501375E0;5.256104469E-1;7.435840964E-1;9.745926410E-2
4.144620375E0;4.315398932E-1;9.566950202E-1;1.150334254E-2
4.159739375E0;2.840018868E-1;1.006725788E0;-2.698774450E-2
4.174857375E0;1.483644247E-1;8.654975891E-1;-1.675821841E-4
4.189976375E0;1.042021140E-1;6.878167987E-1;3.411113098E-2
4.205095375E0;1.016058028E-1;5.926418304E-1;8.747448772E-2
4.220214375E0;1.288072318E-1;5.099568963E-1;1.050704643E-1
4.235333375E0;1.852905154E-1;4.164498150E-1;9.576661140E-2
4.250451375E0;2.129436284E-1;3.192785084E-1;1.205999628E-1
4.265570375E0;2.562695444E-1;1.574810892E-1;1.888687611E-1
4.280689375E0;2.915332019E-1;5.512618646E-2;3.369680345E-1
4.295808375E0;4.006803632E-1;3.669339418E-2;5.066696405E-1
4.310926375E0;3.945903480E-1;1.655967981E-1;6.361800432E-1
4.326045375E0;3.663549721E-1;4.450361729E-1;6.789184809E-1
4.341164375E0;4.917418361E-1;6.523433328E-1;6.195839643E-1
4.356283375E0;4.999796152E-1;6.978668571E-1;5.790755749E-1
4.371401375E0;3.556133807E-1;6.042875051E-1;4.868863821E-1
4.386520375E0;2.215985954E-1;4.038609564E-1;3.411805630E-1
4.401639375E0;1.274888366E-1;2.810528278E-1;1.645375192E-1
4.416758375E0;-8.803381771E-2;2.433425039E-1;9.817358851E-2
4.431876375E0;-2.619228065E-1;1.688484848E-1;2.215894684E-2
4.446995375E0;-5.031875968E-1;1.739364564E-1;3.129172698E-2
4.462114375E0;-9.147088528E-1;9.813094884E-2;-2.017917112E-2
4.477233375E0;-1.369597912E0;-2.710236609E-2;-4.582427442E-2
4.492351375E0;-1.690875888E0;-1.165896878E-1;-1.170601603E-2
4.507470375E0;-1.785841227E0;-1.974728256E-1;-7.252942026E-2
4.522589375E0;-1.865042925E0;-2.226563692E-1;-3.320901990E-1
4.537708375E0;-1.935359716E0;-1.492847055E-1;-5.854512453E-1
4.552826375E0;-1.865359783E0;-4.946117476E-2;-8.831440210E-1
4.567945375E0;-1.792340159E0;3.180885911E-1;-1.068197727E0
4.583064375E0;-1.651487708E0;4.361322224E-1;-1.279710531E0
4.598183375E0;-1.375702739E0;1.392927915E-1;-1.209835291E0
4.613301375E0;-1.248876929E0;-5.498787761E-1;-8.616570830E-1
4.628420375E0;-1.238619328E0;-9.307478070E-1;-3.388505876E-1
4.643539375E0;-1.245467305E0;-8.618766069E-1;5.924079940E-2
4.658658375E0;-1.190946937E0;-5.378124714E-1;2.106707394E-1
4.673776375E0;-1.014953017E0;-1.706829518E-1;1.705827713E-1
4.688895375E0;-9.376814365E-1;3.837110102E-1;-2.241192609E-1
4.704014375E0;-8.668118119E-1;7.276997566E-1;-6.513245106E-1
4.719133375E0;-6.774007082E-1;4.903958440E-1;-7.763669491E-1
4.734251375E0;-5.250317454E-1;-6.664257497E-2;-7.091336846E-1
4.749370375E0;-4.491255283E-1;-5.008465052E-1;-5.048886538E-1
4.764489375E0;-4.076426625E-1;-4.815356433E-1;-1.983977556E-1
4.779608375E0;-1.960441321E-1;-4.118649662E-1;6.287512183E-2
4.794726375E0;-1.810094155E-2;-2.010113001E-1;2.840304971E-1
4.809845375E0;1.204388291E-1;6.676021963E-2;3.965597153E-1
4.824964375E0;3.046008050E-1;4.124584794E-1;4.103381038E-1
4.840083375E0;3.683875203E-1;8.097959757E-1;2.080084532E-1
4.855201375E0;3.816100955E-1;1.230134368E0;4.202799127E-2
4.870320375E0;4.183191061E-1;1.285910130E0;-1.321512610E-1
4.885439375E0;4.111579657E-1;8.745027781E-1;2.383174002E-2
4.900558375E0;4.754088223E-1;6.066728830E-1;3.952969909E-1
4.915676375E0;8.976112604E-1;6.744778156E-1;9.440625310E-1
4.930795375E0;8.977092505E-1;9.589811563E-1;1.438811541E0
4.945914375E0;8.881525397E-1;9.253886342E-1;1.219328880E0
4.961033833E0;8.710659146E-1;7.716853023E-1;8.510036469E-1
4.976151833E0;8.315031528E-1;6.087262630E-1;5.969694257E-1
4.991270833E0;7.257176042E-1;5.886132717E-1;5.458939672E-1
5.006389833E0;5.685047507E-1;6.367442608E-1;4.554201365E-1
5.021508833E0;4.568352401E-1;7.096471786E-1;3.015292585E-1
5.036626833E0;3.917571008E-1;7.129237056E-1;2.027338296E-1
5.051745833E0;3.803768754E-1;6.541736126E-1;2.289742082E-1
5.066864833E0;5.069274902E-1;6.288592219E-1;1.815076619E-1
5.081983833E0;6.621909142E-1;6.776291728E-1;1.062689349E-1
5.097101833E0;7.975158095E-1;5.683801770E-1;1.249219105E-1
5.112220833E0;9.972886443E-1;4.307352602E-1;1.472807527E-1
5.127339833E0;1.095953941E0;4.272107482E-1;1.832275242E-1
5.142458833E0;1.031705856E0;4.532264173E-1;1.826835424E-1
5.157576833E0;8.731960058E-1;4.929365218E-1;8.320213109E-2
5.172695833E0;7.898787856E-1;4.266208708E-1;-5.904848874E-2
5.187814833E0;7.923264503E-1;2.569029927E-1;-1.520169377E-1
5.202933833E0;8.316343427E-1;6.562295556E-2;-2.305635512E-1
5.218051833E0;7.805097699E-1;1.228761487E-2;-2.118489444E-1
5.233170833E0;6.727452278E-1;-1.386718005E-1;-1.022620052E-1
5.248289833E0;6.288530231E-1;-2.976471186E-1;3.986866772E-2
5.263407833E0;5.517585874E-1;-2.648926079E-1;1.845671684E-1
5.278526833E0;5.147559643E-1;-1.862550825E-1;2.576734424E-1
5.293645833E0;5.493887663E-1;4.063772038E-2;2.201486826E-1
5.308764833E0;5.818620920E-1;4.294094443E-1;2.237600386E-1
5.323882833E0;5.343192220E-1;5.765709281E-1;3.562309742E-1
5.339001833E0;3.959822059E-1;5.410733819E-1;4.666267335E-1
5.354120833E0;3.285501599E-1;4.121766686E-1;5.265247226E-1
5.369239833E0;3.464265168E-1;3.462333381E-1;5.418820381E-1
5.384357833E0;3.731637001E-1;3.633378148E-1;5.660268664E-1
5.399476833E0;3.691815734E-1;4.302336574E-1;5.945379138E-1
5.414595833E0;3.109659553E-1;5.266438127E-1;6.264801025E-1
5.429714833E0;2.556881905E-1;4.855919778E-1;6.271608472E-1
5.444832833E0;1.451899856E-1;3.406324387E-1;6.622289419E-1
5.459951833E0;4.311829805E-2;2.717769742E-1;6.697173119E-1
5.475070833E0;8.638428152E-2;4.832048118E-1;4.365215898E-1
5.490189833E0;3.944011778E-2;6.172496676E-1;2.502650619E-1
5.505307833E0;-2.265924513E-1;8.523615003E-1;2.198585719E-1
5.520426833E0;-6.292665005E-1;9.518644214E-1;1.225130334E-1
5.535545833E0;-9.412155747E-1;8.873527646E-1;-8.167579025E-2
5.550664833E0;-1.329975605E0;8.250566721E-1;-2.284645140E-1
5.565782833E0;-1.755564570E0;8.308795094E-1;-2.756226063E-1
5.580901833E0;-2.049855232E0;8.060860634E-1;-3.111819923E-1
5.596020833E0;-2.151363373E0;8.789619207E-1;-5.000499487E-1
5.611138833E0;-2.233989716E0;1.040855765E0;-5.503781438E-1
5.626257833E0;-2.101091146E0;1.221423507E0;-6.831554174E-1
5.641376833E0;-1.908159375E0;1.297399163E0;-8.175340891E-1
5.656495833E0;-1.752650499E0;1.267688513E0;-8.733368516E-1
5.671613833E0;-1.566089869E0;8.384158015E-1;-8.284290433E-1
5.686732833E0;-1.392069101E0;2.488467693E-1;-5.795847178E-1
5.701851833E0;-1.313792825E0;-3.504784405E-1;-2.395574450E-1
5.716970833E0;-1.258005977E0;-7.500812411E-1;8.971472085E-2
5.732088833E0;-1.274060011E0;-7.550384402E-1;3.579422235E-1
5.747207833E0;-1.349665642E0;-5.180799365E-1;4.301886559E-1
5.762326833E0;-1.418196797E0;-3.218989968E-1;4.864320755E-1
5.777445833E0;-1.231175542E0;-2.499046922E-1;4.858288765E-1
5.792563833E0;-9.061240554E-1;3.942935541E-2;3.278069794E-1
5.807682833E0;-6.176810265E-1;4.801271558E-1;3.520036489E-2
5.822801833E0;-4.470244646E-1;8.025587797E-1;-2.738187015E-1
5.837919833E0;-3.811000586E-1;7.417446971E-1;-3.551255167E-1
5.853038833E0;-2.897252440E-1;2.862000763E-1;-2.527451217E-1
5.868157833E0;-1.253476739E-1;-1.179826185E-1;-1.740631089E-2
5.883276833E0;-3.171567991E-2;-3.804954588E-1;1.117890142E-2
