"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
2.404703458E0;1.599274292E0;-8.117918701E0;-4.711452484E0
2.419822458E0;1.458566895E0;-8.300239563E0;-5.645360413E0
2.434941458E0;2.245031433E0;-9.133706360E0;-7.043902130E0
2.450060458E0;3.501518555E0;-1.018766464E1;-6.392456818E0
2.465178458E0;1.813628540E0;-1.253328690E1;-5.009782104E0
2.480297458E0;-2.404000854E-1;-1.482142868E1;-6.217770081E0
2.495416458E0;-5.945635986E-1;-1.627640305E1;-5.586383057E0
2.510535458E0;1.629511414E0;-1.431233734E1;-4.533921661E0
2.525653458E0;2.324815521E0;-1.222492813E1;-5.438490601E0
2.540772458E0;1.604513397E0;-9.822424164E0;-4.551135864E0
2.555891458E0;4.351451111E-1;-8.303981781E0;-2.760559387E0
2.571010458E0;-2.871029663E-1;-7.128027191E0;-4.429289246E-1
2.586129458E0;-1.935475159E-1;-6.589896240E0;-7.792794800E-1
2.601247458E0;-8.099656677E-1;-7.370223541E0;-9.943821716E-1
2.616366458E0;-8.304730225E-1;-7.842790833E0;-9.722282410E-1
2.631485458E0;-1.045276337E0;-8.873098297E0;-5.493576050E-2
2.646604458E0;-1.157393188E0;-9.765841827E0;3.847000122E-2
2.661722458E0;-1.512305145E0;-1.030921188E1;2.032772827E-1
2.676841458E0;-1.344055023E0;-1.004860382E1;-9.997709656E-1
2.691960458E0;-5.677693176E-1;-1.013242950E1;-2.255509644E0
2.707079458E0;1.147962799E0;-1.007584717E1;-2.401306458E0
2.722197458E0;2.359393616E0;-1.010608429E1;-2.209106140E0
2.737316458E0;3.004402313E0;-9.715396729E0;-2.239792328E0
2.752435458E0;2.674937439E0;-9.314530334E0;-1.629212036E0
2.767554458E0;1.810934143E0;-8.391100616E0;-1.228046265E0
2.782672458E0;1.163530426E0;-7.968529358E0;-8.243357849E-1
2.797791458E0;1.038989410E0;-7.525301056E0;-6.322851562E-1
2.812910458E0;9.937834167E-1;-7.441026306E0;-5.207670593E-1
2.828029458E0;1.288969574E0;-7.551346893E0;-4.495152283E-1
2.843148458E0;1.513203278E0;-7.901768188E0;-9.662406921E-1
2.858266458E0;1.784738617E0;-8.799002380E0;-1.108894043E0
2.873385458E0;1.402583313E0;-9.206455078E0;-1.190923462E0
2.888504458E0;1.078058167E0;-1.004381378E1;-1.348994751E0
2.903623458E0;1.294358368E0;-1.049542465E1;-1.650767212E0
2.918741458E0;6.096821594E-1;-1.041354492E1;-2.201621704E0
2.933860458E0;1.030307465E0;-1.073537567E1;-1.730850677E0
2.948979458E0;8.213420105E-1;-1.090197922E1;-1.203796692E0
2.964098708E0;9.113049316E-1;-1.106888214E1;-8.092172241E-1
2.979216708E0;8.882528687E-1;-1.085961731E1;-8.039781189E-1
2.994335708E0;1.995350647E-1;-1.060439804E1;-6.596781921E-1
3.009454708E0;-2.529739380E-2;-1.067250641E1;-9.689350891E-1
3.024573708E0;4.258644104E-1;-1.238689133E1;-1.714085541E0
3.039691708E0;1.108444977E0;-1.416070267E1;-5.704637146E-1
3.054810708E0;1.555116119E0;-1.484507950E1;-3.020718384E-1
3.069929708E0;7.940986633E-1;-1.439945618E1;-3.492237854E-1
3.085048708E0;1.874102783E-1;-1.331526077E1;-3.409909058E-1
3.100166708E0;-9.530680847E-1;-1.158994858E1;-7.409591675E-1
3.115285708E0;-2.936443634E0;-1.047581543E1;-2.117646332E0
3.130404708E0;-4.443359985E0;-1.027643005E1;-3.426225128E0
3.145523708E0;-5.056035919E0;-1.056068893E1;-2.721939697E0
3.160642708E0;-4.167184296E0;-1.207344315E1;-1.577719116E0
3.175760708E0;-1.798959045E0;-1.201386703E1;-4.451742554E-1
3.190879708E0;4.315525818E-1;-1.115031281E1;7.619155884E-2
3.205998708E0;1.326092377E0;-1.230321533E1;-1.381626892E-1
3.221117708E0;1.826352081E0;-1.092158844E1;-9.657916260E-1
3.236235708E0;6.834786987E-1;-1.026535309E1;-6.481521606E-1
3.251354708E0;-1.175655212E0;-9.590256958E0;-8.403524780E-1
3.266473708E0;-3.555256805E0;-8.990603943E0;-1.841021576E0
3.281592708E0;-4.838538208E0;-8.138426056E0;-2.632425842E0
3.296710708E0;-3.402574310E0;-7.402107239E0;-2.640658722E0
3.311829708E0;-1.228794708E0;-6.931036835E0;-2.158960419E0
3.326948708E0;3.830534363E-1;-7.043303375E0;-2.275717621E0
3.342067708E0;1.291514282E0;-7.213349762E0;-2.629581757E0
3.357185708E0;2.276316376E0;-7.018155670E0;-2.088307343E0
3.372304708E0;3.166964264E0;-6.188131714E0;-8.987310791E-1
3.387423708E0;3.533551941E0;-5.944288788E0;-2.309696960E0
3.402542708E0;2.525697784E0;-5.880671082E0;-3.474873962E0
3.417660708E0;1.471739502E0;-5.350773010E0;-4.112398224E0
3.432779708E0;6.140231323E-1;-4.926854553E0;-3.274440765E0
3.447898708E0;9.858499146E-1;-4.854405212E0;-3.483705597E0
3.463017708E0;7.888595581E-2;-5.520370331E0;-4.159849548E0
3.478136708E0;-6.523434448E-1;-4.926704865E0;-4.140839081E0
3.493254708E0;-5.766009521E-1;-4.008663940E0;-3.260070648E0
3.508373708E0;-4.620890808E-1;-3.707490234E0;-3.698508911E0
3.523492708E0;6.590794373E-1;-4.232149200E0;-4.741240540E0
3.538611708E0;9.416917419E-1;-4.266727295E0;-5.269941101E0
3.553729708E0;1.499731293E0;-5.276228027E0;-6.096821594E0
3.568848708E0;1.322350159E0;-6.483766937E0;-6.721921692E0
3.583967708E0;9.783654785E-1;-7.582631836E0;-7.091203766E0
3.599086708E0;8.919950867E-1;-8.415799255E0;-7.888745270E0
3.614204708E0;1.012045441E0;-9.684560852E0;-8.631051636E0
3.629323708E0;2.102827148E0;-1.061592407E1;-8.340356140E0
3.644442708E0;3.281625824E0;-9.992620239E0;-7.487579498E0
3.659561708E0;3.196153564E0;-9.360933838E0;-6.838229828E0
3.674679708E0;1.694326630E0;-1.003408401E1;-8.488248596E0
3.689798708E0;7.969427490E-1;-1.164757874E1;-8.669821014E0
3.704917708E0;1.685644684E0;-1.359263397E1;-8.779542847E0
3.720036708E0;2.229014740E0;-1.637429947E1;-7.311695251E0
3.735154708E0;2.811752930E0;-1.458776459E1;-3.797602844E0
3.750273708E0;1.897304535E0;-1.000848724E1;-3.337759094E0
