"Time (s)";"X (m/s^2)";"Y (m/s^2)";"Z (m/s^2)"
6.795253042E0;2.454895020E-1;-6.678362274E0;-7.146289215E0
6.815411042E0;2.305206299E-2;-6.924151154E0;-7.460934906E0
6.835570042E0;1.118174744E-1;-6.857389984E0;-7.555388489E0
6.855729042E0;2.763253784E-1;-5.921985168E0;-7.068600769E0
6.875888042E0;-1.146615601E-1;-6.304439850E0;-6.904092865E0
6.896047042E0;3.159928894E-1;-7.090305634E0;-7.472161560E0
6.916206042E0;2.896476746E-1;-6.722370758E0;-7.239245911E0
6.936365042E0;-1.407073975E-1;-6.268065491E0;-6.828500061E0
6.956524042E0;1.856140137E-2;-6.372847595E0;-6.790778503E0
6.976683042E0;9.220825195E-2;-6.512806549E0;-7.054230652E0
6.996842042E0;1.109193420E-1;-6.586303711E0;-7.311096497E0
7.017001042E0;1.365161133E-1;-6.596781921E0;-7.311994629E0
7.037160042E0;3.100053406E-1;-6.295907593E0;-7.202721863E0
7.057319042E0;4.249662781E-1;-6.651867371E0;-7.486082611E0
7.077478042E0;2.312690735E-1;-6.816225586E0;-7.347171478E0
7.097636042E0;2.606080627E-1;-7.431895294E0;-7.675738220E0
7.117795042E0;1.390608215E-1;-7.220834198E0;-7.406448212E0
7.137954042E0;-1.399589539E-1;-6.139931946E0;-6.879094849E0
7.158113042E0;-2.390528870E-1;-6.314918060E0;-7.064409485E0
7.178272042E0;-1.698966980E-1;-6.544839935E0;-7.375462646E0
7.198431042E0;-2.433938599E-1;-6.676416321E0;-7.475454712E0
7.218590042E0;-3.198847961E-1;-6.522236938E0;-7.299570465E0
7.238749042E0;-3.019221497E-1;-6.528673553E0;-6.968309326E0
7.258908042E0;-2.025288391E-1;-6.522236938E0;-7.190597076E0
7.279067042E0;-5.183720398E-1;-6.708000641E0;-7.470664673E0
7.299226042E0;-3.170407104E-1;-6.685697021E0;-7.168143768E0
7.319385042E0;-2.314187622E-1;-6.643185425E0;-7.313641205E0
7.339543042E0;-3.375480652E-1;-6.576424255E0;-7.407046967E0
7.359702042E0;-3.068618774E-1;-6.663543091E0;-7.204817505E0
7.379861042E0;-2.880010986E-1;-6.586303711E0;-7.154522095E0
7.400020042E0;-2.389031982E-1;-6.668931885E0;-7.166497192E0
7.420179042E0;-2.008822632E-1;-6.472989349E0;-7.225474548E0
7.440338042E0;-4.727169800E-1;-6.884333954E0;-7.145091705E0
7.460497042E0;-6.038442993E-1;-6.534960480E0;-6.982529755E0
7.480656042E0;-5.228627014E-1;-6.474336548E0;-7.105723572E0
7.500815042E0;-7.713459778E-1;-6.701863403E0;-7.122189331E0
7.520974292E0;-5.632786560E-1;-6.689738617E0;-7.306007080E0
7.541133292E0;-2.255809021E-1;-6.498286743E0;-7.421566772E0
7.561291292E0;-3.555107117E-1;-6.360273743E0;-7.181765442E0
7.581450292E0;-7.292834473E-1;-6.668333130E0;-6.968758392E0
7.601609292E0;-5.414241028E-1;-6.635251923E0;-7.359146576E0
7.621768292E0;-2.745291138E-1;-6.659800873E0;-7.480095062E0
7.641927292E0;-1.947450256E-1;-6.491251373E0;-7.405550079E0
7.662086292E0;-2.176473999E-1;-6.508016510E0;-7.260202332E0
7.682245292E0;-2.754272461E-1;-6.465504913E0;-7.338190155E0
7.702404292E0;-1.637594604E-1;-6.506819000E0;-7.499404907E0
7.722563292E0;7.484436035E-4;-6.537954254E0;-7.509733429E0
7.742722292E0;1.002914429E-1;-6.661297760E0;-7.304510193E0
7.762881292E0;2.157014465E-1;-6.530918884E0;-7.244634705E0
7.783039292E0;1.865121460E-1;-6.393354950E0;-7.352859650E0
7.803198292E0;2.799179077E-1;-6.200406189E0;-7.383246460E0
7.823357292E0;3.156935120E-1;-6.628515930E0;-7.340585175E0
7.843516292E0;3.784130859E-1;-6.570137329E0;-7.232958984E0
7.863675292E0;2.478845215E-1;-6.647975464E0;-7.247029724E0
7.883834292E0;2.148033142E-1;-6.634653168E0;-7.277865601E0
7.903993292E0;1.299298096E-1;-6.599775696E0;-7.270680542E0
7.924152292E0;3.113525391E-2;-6.581813049E0;-7.172784119E0
7.944311292E0;-1.559756470E-1;-6.567592621E0;-7.113956451E0
7.964469292E0;-2.317181396E-1;-6.503525848E0;-7.128925323E0
7.984628292E0;-2.342628479E-1;-6.558311920E0;-7.080276489E0
8.004787292E0;-1.585203552E-1;-6.631659393E0;-7.170838165E0
8.024946292E0;-6.586303711E-3;-6.671476593E0;-7.284152527E0
8.045105292E0;1.481918335E-1;-6.722520447E0;-7.385042725E0
8.065264292E0;2.267784119E-1;-6.554120636E0;-7.360194397E0
